sym,date,period_start_price,period_end_price,20_period_return,williams_3,williams_5,williams_10,williams_15,williams_20,williams_25,williams_30,williams_50,williams_70,williams_100,williams_120,williams_150,williams_200,rsi_3,rsi_5,rsi_10,rsi_15,rsi_20,rsi_25,rsi_30,rsi_50,rsi_70,rsi_100,rsi_120,rsi_150,rsi_200,adx_3,adx_5,adx_10,adx_15,adx_20,adx_25,adx_30,adx_50,adx_70,adx_100,adx_120,adx_150,adx_200,standardDeviation_3,standardDeviation_5,standardDeviation_10,standardDeviation_15,standardDeviation_20,standardDeviation_25,standardDeviation_30,standardDeviation_50,standardDeviation_70,standardDeviation_100,standardDeviation_120,standardDeviation_150,standardDeviation_200,ema_3_above_sma_3,ema_3_above_tema_3,ema_3_above_dema_3,ema_3_above_wma_3,ema_3_above_ema_5,ema_3_above_sma_5,ema_3_above_tema_5,ema_3_above_dema_5,ema_3_above_wma_5,ema_3_above_ema_10,ema_3_above_sma_10,ema_3_above_tema_10,ema_3_above_dema_10,ema_3_above_wma_10,ema_3_above_ema_15,ema_3_above_sma_15,ema_3_above_tema_15,ema_3_above_dema_15,ema_3_above_wma_15,ema_3_above_ema_20,ema_3_above_sma_20,ema_3_above_tema_20,ema_3_above_dema_20,ema_3_above_wma_20,ema_3_above_ema_25,ema_3_above_sma_25,ema_3_above_tema_25,ema_3_above_dema_25,ema_3_above_wma_25,ema_3_above_ema_30,ema_3_above_sma_30,ema_3_above_tema_30,ema_3_above_dema_30,ema_3_above_wma_30,ema_3_above_ema_50,ema_3_above_sma_50,ema_3_above_tema_50,ema_3_above_dema_50,ema_3_above_wma_50,ema_3_above_ema_70,ema_3_above_sma_70,ema_3_above_tema_70,ema_3_above_dema_70,ema_3_above_wma_70,ema_3_above_ema_100,ema_3_above_sma_100,ema_3_above_tema_100,ema_3_above_dema_100,ema_3_above_wma_100,ema_3_above_ema_120,ema_3_above_sma_120,ema_3_above_tema_120,ema_3_above_dema_120,ema_3_above_wma_120,ema_3_above_ema_150,ema_3_above_sma_150,ema_3_above_tema_150,ema_3_above_dema_150,ema_3_above_wma_150,ema_3_above_ema_200,ema_3_above_sma_200,ema_3_above_tema_200,ema_3_above_dema_200,ema_3_above_wma_200,sma_3_above_tema_3,sma_3_above_dema_3,sma_3_above_wma_3,sma_3_above_ema_5,sma_3_above_sma_5,sma_3_above_tema_5,sma_3_above_dema_5,sma_3_above_wma_5,sma_3_above_ema_10,sma_3_above_sma_10,sma_3_above_tema_10,sma_3_above_dema_10,sma_3_above_wma_10,sma_3_above_ema_15,sma_3_above_sma_15,sma_3_above_tema_15,sma_3_above_dema_15,sma_3_above_wma_15,sma_3_above_ema_20,sma_3_above_sma_20,sma_3_above_tema_20,sma_3_above_dema_20,sma_3_above_wma_20,sma_3_above_ema_25,sma_3_above_sma_25,sma_3_above_tema_25,sma_3_above_dema_25,sma_3_above_wma_25,sma_3_above_ema_30,sma_3_above_sma_30,sma_3_above_tema_30,sma_3_above_dema_30,sma_3_above_wma_30,sma_3_above_ema_50,sma_3_above_sma_50,sma_3_above_tema_50,sma_3_above_dema_50,sma_3_above_wma_50,sma_3_above_ema_70,sma_3_above_sma_70,sma_3_above_tema_70,sma_3_above_dema_70,sma_3_above_wma_70,sma_3_above_ema_100,sma_3_above_sma_100,sma_3_above_tema_100,sma_3_above_dema_100,sma_3_above_wma_100,sma_3_above_ema_120,sma_3_above_sma_120,sma_3_above_tema_120,sma_3_above_dema_120,sma_3_above_wma_120,sma_3_above_ema_150,sma_3_above_sma_150,sma_3_above_tema_150,sma_3_above_dema_150,sma_3_above_wma_150,sma_3_above_ema_200,sma_3_above_sma_200,sma_3_above_tema_200,sma_3_above_dema_200,sma_3_above_wma_200,tema_3_above_dema_3,tema_3_above_wma_3,tema_3_above_ema_5,tema_3_above_sma_5,tema_3_above_tema_5,tema_3_above_dema_5,tema_3_above_wma_5,tema_3_above_ema_10,tema_3_above_sma_10,tema_3_above_tema_10,tema_3_above_dema_10,tema_3_above_wma_10,tema_3_above_ema_15,tema_3_above_sma_15,tema_3_above_tema_15,tema_3_above_dema_15,tema_3_above_wma_15,tema_3_above_ema_20,tema_3_above_sma_20,tema_3_above_tema_20,tema_3_above_dema_20,tema_3_above_wma_20,tema_3_above_ema_25,tema_3_above_sma_25,tema_3_above_tema_25,tema_3_above_dema_25,tema_3_above_wma_25,tema_3_above_ema_30,tema_3_above_sma_30,tema_3_above_tema_30,tema_3_above_dema_30,tema_3_above_wma_30,tema_3_above_ema_50,tema_3_above_sma_50,tema_3_above_tema_50,tema_3_above_dema_50,tema_3_above_wma_50,tema_3_above_ema_70,tema_3_above_sma_70,tema_3_above_tema_70,tema_3_above_dema_70,tema_3_above_wma_70,tema_3_above_ema_100,tema_3_above_sma_100,tema_3_above_tema_100,tema_3_above_dema_100,tema_3_above_wma_100,tema_3_above_ema_120,tema_3_above_sma_120,tema_3_above_tema_120,tema_3_above_dema_120,tema_3_above_wma_120,tema_3_above_ema_150,tema_3_above_sma_150,tema_3_above_tema_150,tema_3_above_dema_150,tema_3_above_wma_150,tema_3_above_ema_200,tema_3_above_sma_200,tema_3_above_tema_200,tema_3_above_dema_200,tema_3_above_wma_200,dema_3_above_wma_3,dema_3_above_ema_5,dema_3_above_sma_5,dema_3_above_tema_5,dema_3_above_dema_5,dema_3_above_wma_5,dema_3_above_ema_10,dema_3_above_sma_10,dema_3_above_tema_10,dema_3_above_dema_10,dema_3_above_wma_10,dema_3_above_ema_15,dema_3_above_sma_15,dema_3_above_tema_15,dema_3_above_dema_15,dema_3_above_wma_15,dema_3_above_ema_20,dema_3_above_sma_20,dema_3_above_tema_20,dema_3_above_dema_20,dema_3_above_wma_20,dema_3_above_ema_25,dema_3_above_sma_25,dema_3_above_tema_25,dema_3_above_dema_25,dema_3_above_wma_25,dema_3_above_ema_30,dema_3_above_sma_30,dema_3_above_tema_30,dema_3_above_dema_30,dema_3_above_wma_30,dema_3_above_ema_50,dema_3_above_sma_50,dema_3_above_tema_50,dema_3_above_dema_50,dema_3_above_wma_50,dema_3_above_ema_70,dema_3_above_sma_70,dema_3_above_tema_70,dema_3_above_dema_70,dema_3_above_wma_70,dema_3_above_ema_100,dema_3_above_sma_100,dema_3_above_tema_100,dema_3_above_dema_100,dema_3_above_wma_100,dema_3_above_ema_120,dema_3_above_sma_120,dema_3_above_tema_120,dema_3_above_dema_120,dema_3_above_wma_120,dema_3_above_ema_150,dema_3_above_sma_150,dema_3_above_tema_150,dema_3_above_dema_150,dema_3_above_wma_150,dema_3_above_ema_200,dema_3_above_sma_200,dema_3_above_tema_200,dema_3_above_dema_200,dema_3_above_wma_200
INTC,2023-11-08,37.92,42.7,0.12605485232067512,-85.15815085158148,-49.24623115577869,-14.518518518518473,-14.518518518518473,-14.518518518518473,-14.518518518518473,-14.518518518518473,-27.146464646464626,-26.70807453416148,-24.741081703107,-16.275548826646467,-16.275548826646467,-14.015645371577564,51.98908751519516,61.17365898799151,60.934588185932796,58.95407092038856,57.629151386835474,56.7717678726478,56.197565688689444,55.039701199141994,54.329897807518385,53.31953305043641,52.69488051067487,51.91346384510325,51.18666868776802,73.33132633008296,54.80295855895108,28.0946973306948,18.327609518109607,14.051109424805608,11.922342462901415,10.94977029493338,9.616891407025534,8.515388534526972,6.825818816168219,5.907284606728704,4.902198597946161,4.069108594133793,0.3938132665222049,0.36477938538245297,1.747328246209052,1.913068042003037,1.673418283036253,1.5077453365870512,1.394379551389554,1.5708627438449234,1.711940687748074,1.7568753256847802,2.299839654736826,2.6274589541143274,3.401390743504779,False,True,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
INTC,2023-11-07,38.77,42.15,0.08718080990456527,-10.52631578947332,-4.961832061068534,-1.9259259259258583,-1.9259259259258583,-1.9259259259258583,-1.9259259259258583,-1.9259259259258583,-16.414141414141376,-16.149068322981336,-14.959723820483278,-9.841029523088547,-9.841029523088547,-8.474576271186422,88.60754967852256,80.66862646737829,69.43105115693227,64.45979218492971,61.71025570399069,60.00762207693237,58.8728424603045,56.60869285108536,55.43339851785569,54.07410134374869,53.31313548356956,52.39576265568452,51.53704384519817,81.82703789967796,54.80956423565514,27.165968559649478,17.69778965824453,13.621739850034123,11.614838454131963,10.725975070141697,9.52877079244414,8.462540157064748,6.794289362735271,5.884428196077852,4.888313929977102,4.06369498923268,0.3504600151546857,0.4908360214980161,2.0607670901875355,1.8431422444655037,1.6300198618421804,1.4611581160161966,1.3693753644961228,1.5727965539128068,1.6890395833981264,1.7382221837268104,2.3181414235810163,2.6052248902712583,3.382701138143894,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
INTC,2023-11-06,37.95,41.27,0.08748353096179183,-26.241134751772798,-13.703703703703596,-5.996758508914057,-5.996758508914057,-5.996758508914057,-5.996758508914057,-5.996758508914057,-26.76767676767673,-26.33540372670805,-24.39585730724968,-16.048448145344416,-16.048448145344416,-13.820078226857872,79.17311454942305,74.36334785524242,65.22054290148932,61.196934256407694,59.052720303213334,57.77891995973903,56.96222981796757,55.40688971681709,54.55567164427664,53.44487068730784,52.78315879684924,51.96814514834163,51.216514887935695,77.1752237846013,51.004450151354106,25.487741617639283,16.765489272271406,13.031821885842822,11.208660260863264,10.43593278087866,9.41859299180124,8.398805668622336,6.757612155849825,5.858084036586792,4.872280245413827,4.057142023357576,0.1801850900231935,0.5822233248505259,1.936105627283801,1.6719548106599322,1.5059291982028904,1.349360500385275,1.30967273265754,1.5645561670965993,1.6444940975067963,1.6991641798248933,2.336568458171561,2.571487532322272,3.354615363942639,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
INTC,2023-11-01,37.29,43.74,0.172968624296058,-1.0438413361168526,-0.4840271055178816,-0.4840271055178816,-0.4840271055178816,-0.4840271055178816,-0.4840271055178816,-0.4840271055178816,-35.10101010101011,-34.53416149068326,-31.917336394948343,-21.04466313398941,-21.04466313398941,-18.12255541069101,85.44179811153168,73.66958463107366,62.950632502391834,59.087474100890844,57.215852748782055,56.187967434756025,55.57349281779317,54.507421811800164,53.88973265306431,52.95969109483497,52.37082386282887,51.63193357527276,50.96218283823189,64.09047759999629,43.499843779238645,22.673708910409555,15.248051800781987,12.07976675181428,10.55285349276021,9.976079210333209,9.248806352047806,8.292071283878045,6.690186060875151,5.809114087586485,4.8437596904310665,4.048623866881951,0.6532142748661344,1.619992592575656,1.4502068817930764,1.350692990858972,1.2483404984218047,1.1221405259592045,1.136223227285124,1.6185821078956732,1.5802274184045633,1.6338837902372376,2.388458881033728,2.5001894372671494,3.3068005972540897,True,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
INTC,2023-10-31,36.5,44.7,0.22465753424657542,-3.5532994923858032,-1.583710407239825,-1.583710407239825,-14.201183431952641,-14.201183431952641,-14.201183431952641,-14.201183431952641,-45.07575757575757,-44.347826086956545,-38.019169329073485,-27.024981074943227,-27.024981074943227,-23.272490221642766,79.62307551133796,68.16185972563169,58.78388036016541,55.7901799005969,54.5279041302852,53.94264969020604,53.65763203235573,53.318552994554814,53.02745008758961,52.34499682591248,51.85431538760658,51.21623238125669,50.651400975148604,60.39382942371255,42.677209615828325,22.57647288305442,15.206581813056983,12.051963405315668,10.530271981696071,9.964055949079373,9.246184919613324,8.284530823023353,6.6817279174214335,5.802647291019387,4.840650709996011,4.049412402567146,0.42166337284616096,1.621093458132503,1.2540434601719348,1.3151348050886478,1.1898848683801304,1.0818280824604252,1.0849530967844752,1.6511261732526685,1.5710693680368393,1.653706923853196,2.4169160733371684,2.4859031857433407,3.291319188030842,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True
INTC,2023-10-30,35.69,44.94,0.2591762398430933,-16.31205673758875,-16.31205673758875,-16.31205673758875,-30.17751479289943,-30.17751479289943,-30.17751479289943,-40.50420168067232,-54.40993788819881,-54.40993788819881,-46.6453674121406,-33.15669947009843,-33.15669947009843,-28.552803129074334,71.96336219847933,61.567711767024974,54.011113743358436,52.09554052994297,51.56382746205395,51.49588530956738,51.58841646411661,52.05969071442764,52.122568424669545,51.70439266824272,51.31753006797929,50.78543892397566,50.33025872800352,61.08036724285679,44.669900602029834,23.492655997886235,15.67633398856652,12.328176309235822,10.70745971565465,10.092825041909753,9.29498736385159,8.30326005053496,6.686235821741311,5.805240202122588,4.843376170505758,4.0534769696272726,1.460281555804296,1.3312640609586053,1.199270194743453,1.3111189453626582,1.169725929438174,1.1075454663353554,1.079369208792288,1.6832511517892985,1.5781016495544675,1.6719867792539511,2.4337651086673646,2.4963386709338953,3.2794204899646524,True,False,False,False,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,False,False,False,False,True,False,False,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True
INTC,2023-10-25,32.83,43.96,0.33901918976545853,-89.39393939393935,-92.65091863517057,-94.00428265524623,-94.00428265524623,-94.00428265524623,-94.00428265524623,-95.59055118110234,-89.93788819875782,-89.93788819875782,-69.81677917068468,-54.80696442089328,-54.80696442089328,-47.1968709256845,17.472379337842767,20.892430942549424,28.57946429875841,34.16326523949898,38.08915553716188,40.881435747846766,42.91417914749645,47.156440709681824,48.70652907584943,49.33717575018764,49.3486114208578,49.21617440371563,49.16892663148412,72.97922575765585,50.27565655587758,24.096777649040536,15.866668715892168,12.506045962624738,10.903642746692517,10.325959843882234,9.524020434780624,8.46374890067891,6.778021487268125,5.8723895710082505,4.890186997154185,4.086776247408487,0.7215415595946121,0.9677685673754869,1.1869966301552848,1.0952495403128717,0.9569977795167555,1.0100336628053548,1.2743589237992055,1.7496047096415808,1.569635704518077,1.7968705685162751,2.4764076580581174,2.5508448003662547,3.2706682616095457,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
INTC,2023-10-24,34.59,43.96,0.27088753975137314,-58.47750865051894,-59.59595959595948,-68.66840731070486,-68.66840731070486,-68.66840731070486,-68.66840731070486,-79.1666666666666,-68.07453416149066,-68.07453416149066,-52.84474445515907,-41.48372445117332,-41.48372445117332,-35.72359843546282,39.715217998903476,36.28526569682407,39.460422729648236,42.71710345057707,45.03694866587872,46.67350582117064,47.851732152612534,50.20948440026018,50.89341019919483,50.849447872423696,50.59245689305984,50.19023384889528,49.87990446949522,63.848643645102136,42.96922700882977,20.59167934212973,14.175933969473391,11.641423985442865,10.452895980940532,10.10963094910158,9.596050030589062,8.558556012755883,6.845690665539677,5.918578497472849,4.920628177383344,4.106194068439313,0.4473874780942755,0.6831866509234498,0.9434807894175696,0.8013255684593288,0.756037532137129,0.8820661199706068,1.2786581508232246,1.7113762415085707,1.5445951123917527,1.8186645210153525,2.4861160457741223,2.5851100376321825,3.275592892515797,True,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,True,True
INTC,2023-10-23,33.85,43.67,0.2901033973412112,-84.51178451178448,-84.51178451178448,-87.98955613577021,-87.98955613577021,-87.98955613577021,-90.23354564755837,-93.1137724550898,-77.26708074534163,-77.26708074534163,-59.98071359691416,-47.085541256623756,-47.085541256623756,-40.54758800521512,6.268737897121312,15.293086295505788,29.27038142033318,36.47545904323649,40.71764605494108,43.4389439549928,45.29346456890143,48.84481714639188,49.96229049326293,50.21424121934715,50.06770039196105,49.775078211509864,49.57486605918357,54.67249220911355,36.63684654730969,18.00791643964845,13.10581654060707,11.198006178994845,10.30051504956758,10.113918901138428,9.756099775304381,8.66581684130198,6.892315456511003,5.950224340086517,4.941896418135581,4.120600327515934,0.746830339203996,0.7811632351819945,0.8871955815940475,0.7316088815450205,0.8266043491296189,0.88251041920195,1.3662495704990691,1.706269486335614,1.5462824477317418,1.8521652086139622,2.5020450954613556,2.6122712331523994,3.2782967281043973,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,True,False,True,True
INTC,2023-10-18,35.64,43.81,0.22923681257014594,-69.51871657754005,-73.48837209302323,-73.48837209302323,-55.63380281690142,-44.134078212290476,-61.97718631178706,-68.89580093312597,-55.031055900621126,-55.031055900621126,-34.15574402467232,-33.53520060560181,-33.53520060560181,-28.878748370273794,26.85574678659934,36.67597542237177,45.11279552444972,47.95311634564915,49.47716309081984,50.43501608797282,51.08155405261996,52.21585250791004,52.31798595973519,51.81346305867263,51.37350058036247,50.79015393726858,50.31056015806736,48.08595004536122,29.617114735684417,15.571445607142735,12.825523022161224,11.470470401384297,10.747952274284321,10.650088455201459,10.088613916883729,8.840228706957525,6.960128691195709,5.99566063529772,4.974695163489121,4.147017378290861,0.3760614606978795,0.42995813749713,0.39107032615630744,0.4778172593506165,0.8614898432367044,1.1718180063474033,1.4422601475924293,1.7032934685485064,1.5733595992561364,2.006069517738606,2.551727432326754,2.6463286442415526,3.3055289803600267,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True
INTC,2023-10-17,36.06,43.35,0.20216306156405986,-47.05882352941158,-53.95348837209289,-53.95348837209289,-34.730538922155624,-32.40223463687143,-56.079854809437336,-62.363919129082404,-49.813664596273284,-49.813664596273284,-30.355791067373183,-30.355791067373183,-30.355791067373183,-26.140808344198163,38.26539255337755,45.40719146653063,50.02939865802913,51.1395829230814,51.77833045676288,52.2166455191097,52.527567935451586,53.03101977512899,52.88141560448229,52.19331600308005,51.68291310224095,51.0301352375239,50.48410743114405,41.47739619656482,27.395825228892352,15.549220348994112,13.254167082102581,11.964487515618043,11.163976687536069,10.926943410200987,10.173269812400827,8.872360531492838,6.970095349154369,6.002206852974026,4.9803226113535,4.153002884583682,0.25952948879762405,0.3823297006511538,0.35356611828624174,0.5888821802552896,0.88357851943107,1.2929077925358803,1.4410414829405702,1.704735756649693,1.589683378820437,2.1225653605955226,2.569195675044364,2.6659397542580243,3.3163410677281076,True,True,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,True,False,True,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True
