sym,date,period_start_price,period_end_price,20_period_return,williams_3,williams_5,williams_10,williams_15,williams_20,williams_25,williams_30,williams_50,williams_70,williams_100,williams_120,williams_150,williams_200,rsi_3,rsi_5,rsi_10,rsi_15,rsi_20,rsi_25,rsi_30,rsi_50,rsi_70,rsi_100,rsi_120,rsi_150,rsi_200,adx_3,adx_5,adx_10,adx_15,adx_20,adx_25,adx_30,adx_50,adx_70,adx_100,adx_120,adx_150,adx_200,standardDeviation_3,standardDeviation_5,standardDeviation_10,standardDeviation_15,standardDeviation_20,standardDeviation_25,standardDeviation_30,standardDeviation_50,standardDeviation_70,standardDeviation_100,standardDeviation_120,standardDeviation_150,standardDeviation_200,ema_3_above_sma_3,ema_3_above_tema_3,ema_3_above_dema_3,ema_3_above_wma_3,ema_3_above_ema_5,ema_3_above_sma_5,ema_3_above_tema_5,ema_3_above_dema_5,ema_3_above_wma_5,ema_3_above_ema_10,ema_3_above_sma_10,ema_3_above_tema_10,ema_3_above_dema_10,ema_3_above_wma_10,ema_3_above_ema_15,ema_3_above_sma_15,ema_3_above_tema_15,ema_3_above_dema_15,ema_3_above_wma_15,ema_3_above_ema_20,ema_3_above_sma_20,ema_3_above_tema_20,ema_3_above_dema_20,ema_3_above_wma_20,ema_3_above_ema_25,ema_3_above_sma_25,ema_3_above_tema_25,ema_3_above_dema_25,ema_3_above_wma_25,ema_3_above_ema_30,ema_3_above_sma_30,ema_3_above_tema_30,ema_3_above_dema_30,ema_3_above_wma_30,ema_3_above_ema_50,ema_3_above_sma_50,ema_3_above_tema_50,ema_3_above_dema_50,ema_3_above_wma_50,ema_3_above_ema_70,ema_3_above_sma_70,ema_3_above_tema_70,ema_3_above_dema_70,ema_3_above_wma_70,ema_3_above_ema_100,ema_3_above_sma_100,ema_3_above_tema_100,ema_3_above_dema_100,ema_3_above_wma_100,ema_3_above_ema_120,ema_3_above_sma_120,ema_3_above_tema_120,ema_3_above_dema_120,ema_3_above_wma_120,ema_3_above_ema_150,ema_3_above_sma_150,ema_3_above_tema_150,ema_3_above_dema_150,ema_3_above_wma_150,ema_3_above_ema_200,ema_3_above_sma_200,ema_3_above_tema_200,ema_3_above_dema_200,ema_3_above_wma_200,sma_3_above_tema_3,sma_3_above_dema_3,sma_3_above_wma_3,sma_3_above_ema_5,sma_3_above_sma_5,sma_3_above_tema_5,sma_3_above_dema_5,sma_3_above_wma_5,sma_3_above_ema_10,sma_3_above_sma_10,sma_3_above_tema_10,sma_3_above_dema_10,sma_3_above_wma_10,sma_3_above_ema_15,sma_3_above_sma_15,sma_3_above_tema_15,sma_3_above_dema_15,sma_3_above_wma_15,sma_3_above_ema_20,sma_3_above_sma_20,sma_3_above_tema_20,sma_3_above_dema_20,sma_3_above_wma_20,sma_3_above_ema_25,sma_3_above_sma_25,sma_3_above_tema_25,sma_3_above_dema_25,sma_3_above_wma_25,sma_3_above_ema_30,sma_3_above_sma_30,sma_3_above_tema_30,sma_3_above_dema_30,sma_3_above_wma_30,sma_3_above_ema_50,sma_3_above_sma_50,sma_3_above_tema_50,sma_3_above_dema_50,sma_3_above_wma_50,sma_3_above_ema_70,sma_3_above_sma_70,sma_3_above_tema_70,sma_3_above_dema_70,sma_3_above_wma_70,sma_3_above_ema_100,sma_3_above_sma_100,sma_3_above_tema_100,sma_3_above_dema_100,sma_3_above_wma_100,sma_3_above_ema_120,sma_3_above_sma_120,sma_3_above_tema_120,sma_3_above_dema_120,sma_3_above_wma_120,sma_3_above_ema_150,sma_3_above_sma_150,sma_3_above_tema_150,sma_3_above_dema_150,sma_3_above_wma_150,sma_3_above_ema_200,sma_3_above_sma_200,sma_3_above_tema_200,sma_3_above_dema_200,sma_3_above_wma_200,tema_3_above_dema_3,tema_3_above_wma_3,tema_3_above_ema_5,tema_3_above_sma_5,tema_3_above_tema_5,tema_3_above_dema_5,tema_3_above_wma_5,tema_3_above_ema_10,tema_3_above_sma_10,tema_3_above_tema_10,tema_3_above_dema_10,tema_3_above_wma_10,tema_3_above_ema_15,tema_3_above_sma_15,tema_3_above_tema_15,tema_3_above_dema_15,tema_3_above_wma_15,tema_3_above_ema_20,tema_3_above_sma_20,tema_3_above_tema_20,tema_3_above_dema_20,tema_3_above_wma_20,tema_3_above_ema_25,tema_3_above_sma_25,tema_3_above_tema_25,tema_3_above_dema_25,tema_3_above_wma_25,tema_3_above_ema_30,tema_3_above_sma_30,tema_3_above_tema_30,tema_3_above_dema_30,tema_3_above_wma_30,tema_3_above_ema_50,tema_3_above_sma_50,tema_3_above_tema_50,tema_3_above_dema_50,tema_3_above_wma_50,tema_3_above_ema_70,tema_3_above_sma_70,tema_3_above_tema_70,tema_3_above_dema_70,tema_3_above_wma_70,tema_3_above_ema_100,tema_3_above_sma_100,tema_3_above_tema_100,tema_3_above_dema_100,tema_3_above_wma_100,tema_3_above_ema_120,tema_3_above_sma_120,tema_3_above_tema_120,tema_3_above_dema_120,tema_3_above_wma_120,tema_3_above_ema_150,tema_3_above_sma_150,tema_3_above_tema_150,tema_3_above_dema_150,tema_3_above_wma_150,tema_3_above_ema_200,tema_3_above_sma_200,tema_3_above_tema_200,tema_3_above_dema_200,tema_3_above_wma_200,dema_3_above_wma_3,dema_3_above_ema_5,dema_3_above_sma_5,dema_3_above_tema_5,dema_3_above_dema_5,dema_3_above_wma_5,dema_3_above_ema_10,dema_3_above_sma_10,dema_3_above_tema_10,dema_3_above_dema_10,dema_3_above_wma_10,dema_3_above_ema_15,dema_3_above_sma_15,dema_3_above_tema_15,dema_3_above_dema_15,dema_3_above_wma_15,dema_3_above_ema_20,dema_3_above_sma_20,dema_3_above_tema_20,dema_3_above_dema_20,dema_3_above_wma_20,dema_3_above_ema_25,dema_3_above_sma_25,dema_3_above_tema_25,dema_3_above_dema_25,dema_3_above_wma_25,dema_3_above_ema_30,dema_3_above_sma_30,dema_3_above_tema_30,dema_3_above_dema_30,dema_3_above_wma_30,dema_3_above_ema_50,dema_3_above_sma_50,dema_3_above_tema_50,dema_3_above_dema_50,dema_3_above_wma_50,dema_3_above_ema_70,dema_3_above_sma_70,dema_3_above_tema_70,dema_3_above_dema_70,dema_3_above_wma_70,dema_3_above_ema_100,dema_3_above_sma_100,dema_3_above_tema_100,dema_3_above_dema_100,dema_3_above_wma_100,dema_3_above_ema_120,dema_3_above_sma_120,dema_3_above_tema_120,dema_3_above_dema_120,dema_3_above_wma_120,dema_3_above_ema_150,dema_3_above_sma_150,dema_3_above_tema_150,dema_3_above_dema_150,dema_3_above_wma_150,dema_3_above_ema_200,dema_3_above_sma_200,dema_3_above_tema_200,dema_3_above_dema_200,dema_3_above_wma_200
LMT,2023-11-08,444.66,448.02,0.007556335177438845,-94.17206290471736,-95.5615048612086,-75.40163433209173,-75.40163433209173,-48.24608205106307,-21.044465820585163,-21.044465820585163,-21.044465820585163,-21.044465820585163,-40.639216143706946,-40.639216143706946,-55.48849820694479,-55.48849820694479,19.545959305755844,35.39159468952596,49.541703051486245,52.66956647467861,53.01969714490465,52.6499474365515,52.12775590448845,50.51782682874176,49.86054824759663,49.7020608854124,49.79577771807582,50.01737812079402,50.481318281698286,52.70507386158831,44.38472831767299,39.807723119128795,32.0266877650598,25.572366746570456,21.002672899898954,17.792476663874698,11.272255247618698,8.050517028324508,5.619682286196969,4.6888699189365175,3.9296168440383683,3.7312872170603004,2.8559917522445404,4.356062442160348,4.583612221818071,4.578388168583156,5.583762530767226,13.89814516545283,18.22420814923564,16.901428654406704,16.52557407629219,17.109385010572414,16.3125701965284,19.416250298368343,20.040876430373505,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,False
LMT,2023-11-07,450.15,447.11,-0.006753304454070785,-94.29987608426295,-94.60979610967917,-44.8829840458059,-44.8829840458059,-28.718583491616396,-12.526763273031946,-12.526763273031946,-12.526763273031946,-12.526763273031946,-34.2353901784673,-34.2353901784673,-50.68660893903615,-50.68660893903615,38.151978338456836,49.639323096438936,57.38606316615972,57.85561465036396,56.84562482624863,55.670099976306325,54.61961891984618,51.97997281919324,50.8912362880335,50.41243116388849,50.38308863527579,50.483430132740054,50.82983307659624,45.56836351402986,48.71830598265895,42.99079687104295,33.139409924630364,26.127347066439803,21.359094168060555,18.06348810200503,11.43532977543121,8.159910446314656,5.668959207953431,4.721049402338283,3.9513080588690936,3.749492664700353,1.3311899438722679,2.7352776824300755,4.3157618099241795,4.5123487847855435,5.976543545394782,15.943922849788253,18.76629656236591,16.966333812583084,16.58819292971568,17.182536446927735,16.341598014261713,19.680427490840295,20.03059176959083,False,True,True,True,False,False,True,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
LMT,2023-11-06,451.16,449.41,-0.0038788899725152935,-93.1434599156113,-55.12720461994681,-39.26844182555992,-30.58803152333925,-25.126092864104148,-10.959754243336278,-10.959754243336278,-10.959754243336278,-10.959754243336278,-33.05727283331385,-33.05727283331385,-49.80320125951192,-49.80320125951192,43.19495905603121,52.76566084303455,58.931040962328574,58.85059258437094,57.571699347789945,56.23986457976074,55.08793318449121,52.252637824184966,51.08272550717012,50.54400339740014,50.49173384512241,50.56953872623858,50.894150777788376,62.08450891961769,51.80043137223396,43.25956911565147,33.1109872595119,26.09640244207872,21.364089557748112,18.10206901015727,11.523880227620669,8.233378546033155,5.716264501420239,4.756109733857648,3.9751178988191405,3.764819300854419,2.870865142542694,2.3587318626753677,5.150720823341143,4.8544821900315345,6.357519878065661,17.263362657373563,19.081328220715317,17.015732984505842,16.55158684112142,17.215172051129784,16.372823735792593,19.923792861690657,20.053245335792905,False,True,True,False,True,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
LMT,2023-11-01,452.38,449.41,-0.006565276979530418,-31.079136690647484,-26.237473428484666,-26.237473428484666,-16.24658708847619,-6.864770379787053,-6.864770379787053,-6.864770379787053,-8.278560250391264,-8.278560250391264,-31.634200396593958,-31.634200396593958,-48.73611475553224,-48.73611475553224,67.03797225278467,66.34213791663919,65.10473532206932,62.42003877829286,59.89159488664816,57.86926938728435,56.297229190017106,52.76844713116285,51.38657675206239,50.73162296661629,50.64359000607643,50.6899393801391,50.987584601522975,53.220691622142056,44.28961966670017,41.40624215520204,32.058698557443435,25.533114826190335,21.112460366263118,18.05162116374692,11.74584978343762,8.434184518967827,5.849054680446902,4.854945245559649,4.042453577645814,3.8084935961829105,3.731535281295837,4.297136721120237,3.9229499104627887,4.936973251789895,14.33445934627462,18.29607653678788,18.367658004099365,16.894506439668486,16.385549833525236,17.23318049577616,16.325552534464354,20.287725911222513,20.12912097627464,True,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
LMT,2023-10-31,454.64,447.77,-0.015110856941756125,-3.2896945283652883,-3.2896945283652883,-3.2896945283652883,-1.9584175985803844,-0.798565840938737,-0.798565840938737,-0.798565840938737,-4.7417840375587295,-4.7417840375587295,-28.998017030211138,-28.998017030211138,-46.75938073996328,-46.75938073996328,82.1883338804578,74.57335051199979,68.79819368612371,64.73292191789974,61.56028307890544,59.17101251663174,57.36330393074448,53.38475073294432,51.81796346096608,51.027243102413074,50.88745371037115,50.88304367724566,51.13172314604471,44.586190068573636,40.71842291531149,40.82229573583918,31.75810147340779,25.392195468290797,21.06931966613339,18.069586533179987,11.8380902992866,8.511214137307462,5.898225373144072,4.891202936874522,4.0669344621636405,3.8241476759965356,4.83051642051747,3.8211024587152833,3.496256426522518,4.902014098533607,16.150279130714736,18.398154672683887,17.85482597693595,16.90830581223323,16.410876302013854,17.317088917886867,16.31997850263256,20.374278153157285,20.13683910641141,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,False,False,False,True,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
LMT,2023-10-30,445.84,445.01,-0.0018616544051677376,-48.36480884385093,-48.36480884385093,-39.35447338618367,-30.643468752480317,-11.775669264656118,-11.775669264656118,-11.775669264656118,-18.51330203442885,-18.868806481770044,-39.262801819666414,-39.262801819666414,-54.45639814571855,-54.45639814571855,56.90814793386462,58.55542520061825,61.05569077407917,59.24480082025896,57.143298363746005,55.42269314114544,54.091034009168695,51.21030379361769,50.213789631904525,49.90189738753184,49.9569755592483,50.148499975382364,50.59056664458481,34.710777115280145,37.49459996744817,40.47513672252789,31.58071354424517,25.33229371331494,21.085034767507583,18.132658979931403,11.950244839863297,8.598880668937602,5.952545922546059,4.930959115825279,4.093585841379161,3.8409792322756515,1.186769658451985,2.3660887557317123,2.52761547708508,4.428834007576564,17.05563023608333,18.211272526652277,17.174957832715503,16.82892414980827,16.446284451671943,17.403988457821963,16.313256265142847,20.438650800111265,20.14097526809465,True,False,False,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,False,False,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,False,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,False
LMT,2023-10-25,447.69,452.01,0.009649534275949861,-37.286689419795174,-40.04893964110935,-22.486574192467526,-8.641138597085767,-8.641138597085767,-8.641138597085767,-8.641138597085767,-15.61815336463226,-17.691955426652385,-37.104864108246815,-37.104864108246815,-52.83827516837226,-52.83827516837226,65.11040600677123,65.62732749596077,65.00953947905634,61.670996122484866,58.81213313911763,56.66453647902648,55.06693731081399,51.718928470362066,50.556618986848655,50.13560901685546,50.15128405018816,50.30471993261902,50.71048143586039,37.31856468400804,57.254852431376186,44.12761617354467,33.14100262196555,26.431706842927206,22.01956459034227,18.98030405611981,12.559448775394403,8.940106401831422,6.085129809737091,5.015631489066312,4.1505625553252425,3.891175728680322,2.9080845165771287,2.8855155518555167,4.21619840614742,15.098339952899895,18.28474344227996,17.653330092648247,16.14072209936374,16.947166370812557,16.74059755900765,17.589721992970784,16.360394500812696,20.621900226700742,20.11336815596782,True,False,False,True,True,False,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,False,False,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,False
LMT,2023-10-24,440.9,452.01,0.0251984577001588,-95.43230016313214,-94.86589044205894,-52.4245817938115,-20.145713317519544,-20.145713317519544,-20.145713317519544,-20.145713317519544,-26.244131455399106,-45.02507873556517,-45.02507873556517,-45.02507873556517,-58.777223825767535,-58.777223825767535,35.292316596928956,51.350600296755495,58.886972495311404,57.327166430289154,55.303507061691455,53.68351370588061,52.4653123337572,49.999810065121906,49.29556467973076,49.25614234475851,49.42593216434971,49.73353195571194,50.290642182927805,54.88696051087529,62.40978195865519,44.814275374988284,33.47462241845796,26.719825586278766,22.294468797445493,19.244894116067762,12.761813180494554,9.064593694754308,6.131860619932075,5.045444530201625,4.170519116110884,3.9084839377538594,2.1684761674708293,2.721165926583686,4.3117375847794905,16.97958086120568,18.213125212329707,17.05746580943371,15.618060588804092,16.880273397075065,16.83851577636878,17.61689717827745,16.37020229970703,20.66518626966619,20.105967966688397,False,True,True,True,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,False,False,True,True,True,True,False,True,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False
LMT,2023-10-23,446.16,450.4,0.009503317195624781,-61.87250804630826,-37.542468856172064,-29.23254645020763,-11.233480176211438,-11.233480176211438,-11.233480176211438,-11.233480176211438,-18.012519561815314,-38.88953691823162,-38.88953691823162,-38.88953691823162,-54.176506603691045,-54.176506603691045,63.17721713719881,69.15044961922338,67.06906999620179,62.443838648854154,59.00244796122283,56.57789565392002,54.843216241583505,51.38893252064097,50.274698666894864,49.9315328173544,49.98467676824162,50.177326966983706,50.623007314998304,81.23955425117616,68.85344386775395,45.57723004325896,33.832072200414125,27.02310847401725,22.580827346511352,19.518607971186334,12.968307471413075,9.190885151342743,6.179063458512867,5.0755081010943774,4.190609613546093,3.9258791227523893,2.059681744563677,2.6474092996739316,4.783262589488481,18.259688861898315,18.295133198476584,16.726050819006858,15.360899481765022,17.02721193971579,17.272951310044956,17.62263135175903,16.38041680360186,20.727039367186254,20.113904237554177,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,False,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,False,True,True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,False
LMT,2023-10-18,446.07,444.68,-0.0031161028538121516,-36.52173913043487,-29.6293683477219,-11.385970857336535,-11.385970857336535,-11.385970857336535,-11.385970857336535,-11.385970857336535,-18.1533646322379,-38.99451767176018,-38.99451767176018,-38.99451767176018,-54.2552260998863,-54.2552260998863,89.70297245722043,83.20919080783447,71.72717692683858,64.59207794280076,60.15184987866995,57.24397146538609,55.24671042723605,51.445557832047726,50.27108787810619,49.91936001772504,49.97561702293139,50.173343183718096,50.62561831655551,76.23723913893964,63.64314459454933,43.57479675646763,33.37454085744312,27.19905389131359,23.024323382850216,20.078376372841102,13.513433707972947,9.563766098048578,6.345823105329032,5.182404503516609,4.2612452472711615,3.9832697674682045,2.515675301429454,3.799312569399893,16.30083743247566,17.688005301773163,16.063781396358703,14.608794688132212,13.38183852175112,17.37300780060839,18.011022056802116,17.62368190815983,16.6538082462891,20.89092434197736,20.234416219896236,True,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,False,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,False,True,False,False
LMT,2023-10-17,441.13,445.59,0.010110398295287057,-63.36956521739132,-51.41048138905309,-19.756014910199962,-19.756014910199962,-19.756014910199962,-19.756014910199962,-19.756014910199962,-25.884194053208155,-44.75679458765892,-44.75679458765892,-44.75679458765892,-58.57605177993528,-58.57605177993528,81.3759840033506,78.18359316633818,68.26909220493181,61.73359028483745,57.70551370122191,55.110477643076585,53.36015781048641,50.181931573260535,49.3446957496224,49.275266137463106,49.44522559876255,49.75633665565503,50.319534257555055,72.2371642227555,61.7868181971304,43.19205193076853,33.462252153959085,27.4400523041908,23.311327484509743,20.37351315446309,13.742941192883798,9.691507060298498,6.392018646896372,5.2114185779244995,4.2805741631574445,4.0003188263471285,0.3241741644376997,2.806858742437898,17.614719441421705,16.846529955915415,15.030337479577764,13.715983983659358,12.592288561743741,17.433081931775575,18.28915116640887,17.623166771043167,16.744739253469035,20.950170803970916,20.329648294793493,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False
