sym,date,period_start_price,period_end_price,20_period_return,williams_3,williams_5,williams_10,williams_15,williams_20,williams_25,williams_30,williams_50,williams_70,williams_100,williams_120,williams_150,williams_200,rsi_3,rsi_5,rsi_10,rsi_15,rsi_20,rsi_25,rsi_30,rsi_50,rsi_70,rsi_100,rsi_120,rsi_150,rsi_200,adx_3,adx_5,adx_10,adx_15,adx_20,adx_25,adx_30,adx_50,adx_70,adx_100,adx_120,adx_150,adx_200,standardDeviation_3,standardDeviation_5,standardDeviation_10,standardDeviation_15,standardDeviation_20,standardDeviation_25,standardDeviation_30,standardDeviation_50,standardDeviation_70,standardDeviation_100,standardDeviation_120,standardDeviation_150,standardDeviation_200,ema_3_above_sma_3,ema_3_above_tema_3,ema_3_above_dema_3,ema_3_above_wma_3,ema_3_above_ema_5,ema_3_above_sma_5,ema_3_above_tema_5,ema_3_above_dema_5,ema_3_above_wma_5,ema_3_above_ema_10,ema_3_above_sma_10,ema_3_above_tema_10,ema_3_above_dema_10,ema_3_above_wma_10,ema_3_above_ema_15,ema_3_above_sma_15,ema_3_above_tema_15,ema_3_above_dema_15,ema_3_above_wma_15,ema_3_above_ema_20,ema_3_above_sma_20,ema_3_above_tema_20,ema_3_above_dema_20,ema_3_above_wma_20,ema_3_above_ema_25,ema_3_above_sma_25,ema_3_above_tema_25,ema_3_above_dema_25,ema_3_above_wma_25,ema_3_above_ema_30,ema_3_above_sma_30,ema_3_above_tema_30,ema_3_above_dema_30,ema_3_above_wma_30,ema_3_above_ema_50,ema_3_above_sma_50,ema_3_above_tema_50,ema_3_above_dema_50,ema_3_above_wma_50,ema_3_above_ema_70,ema_3_above_sma_70,ema_3_above_tema_70,ema_3_above_dema_70,ema_3_above_wma_70,ema_3_above_ema_100,ema_3_above_sma_100,ema_3_above_tema_100,ema_3_above_dema_100,ema_3_above_wma_100,ema_3_above_ema_120,ema_3_above_sma_120,ema_3_above_tema_120,ema_3_above_dema_120,ema_3_above_wma_120,ema_3_above_ema_150,ema_3_above_sma_150,ema_3_above_tema_150,ema_3_above_dema_150,ema_3_above_wma_150,ema_3_above_ema_200,ema_3_above_sma_200,ema_3_above_tema_200,ema_3_above_dema_200,ema_3_above_wma_200,sma_3_above_tema_3,sma_3_above_dema_3,sma_3_above_wma_3,sma_3_above_ema_5,sma_3_above_sma_5,sma_3_above_tema_5,sma_3_above_dema_5,sma_3_above_wma_5,sma_3_above_ema_10,sma_3_above_sma_10,sma_3_above_tema_10,sma_3_above_dema_10,sma_3_above_wma_10,sma_3_above_ema_15,sma_3_above_sma_15,sma_3_above_tema_15,sma_3_above_dema_15,sma_3_above_wma_15,sma_3_above_ema_20,sma_3_above_sma_20,sma_3_above_tema_20,sma_3_above_dema_20,sma_3_above_wma_20,sma_3_above_ema_25,sma_3_above_sma_25,sma_3_above_tema_25,sma_3_above_dema_25,sma_3_above_wma_25,sma_3_above_ema_30,sma_3_above_sma_30,sma_3_above_tema_30,sma_3_above_dema_30,sma_3_above_wma_30,sma_3_above_ema_50,sma_3_above_sma_50,sma_3_above_tema_50,sma_3_above_dema_50,sma_3_above_wma_50,sma_3_above_ema_70,sma_3_above_sma_70,sma_3_above_tema_70,sma_3_above_dema_70,sma_3_above_wma_70,sma_3_above_ema_100,sma_3_above_sma_100,sma_3_above_tema_100,sma_3_above_dema_100,sma_3_above_wma_100,sma_3_above_ema_120,sma_3_above_sma_120,sma_3_above_tema_120,sma_3_above_dema_120,sma_3_above_wma_120,sma_3_above_ema_150,sma_3_above_sma_150,sma_3_above_tema_150,sma_3_above_dema_150,sma_3_above_wma_150,sma_3_above_ema_200,sma_3_above_sma_200,sma_3_above_tema_200,sma_3_above_dema_200,sma_3_above_wma_200,tema_3_above_dema_3,tema_3_above_wma_3,tema_3_above_ema_5,tema_3_above_sma_5,tema_3_above_tema_5,tema_3_above_dema_5,tema_3_above_wma_5,tema_3_above_ema_10,tema_3_above_sma_10,tema_3_above_tema_10,tema_3_above_dema_10,tema_3_above_wma_10,tema_3_above_ema_15,tema_3_above_sma_15,tema_3_above_tema_15,tema_3_above_dema_15,tema_3_above_wma_15,tema_3_above_ema_20,tema_3_above_sma_20,tema_3_above_tema_20,tema_3_above_dema_20,tema_3_above_wma_20,tema_3_above_ema_25,tema_3_above_sma_25,tema_3_above_tema_25,tema_3_above_dema_25,tema_3_above_wma_25,tema_3_above_ema_30,tema_3_above_sma_30,tema_3_above_tema_30,tema_3_above_dema_30,tema_3_above_wma_30,tema_3_above_ema_50,tema_3_above_sma_50,tema_3_above_tema_50,tema_3_above_dema_50,tema_3_above_wma_50,tema_3_above_ema_70,tema_3_above_sma_70,tema_3_above_tema_70,tema_3_above_dema_70,tema_3_above_wma_70,tema_3_above_ema_100,tema_3_above_sma_100,tema_3_above_tema_100,tema_3_above_dema_100,tema_3_above_wma_100,tema_3_above_ema_120,tema_3_above_sma_120,tema_3_above_tema_120,tema_3_above_dema_120,tema_3_above_wma_120,tema_3_above_ema_150,tema_3_above_sma_150,tema_3_above_tema_150,tema_3_above_dema_150,tema_3_above_wma_150,tema_3_above_ema_200,tema_3_above_sma_200,tema_3_above_tema_200,tema_3_above_dema_200,tema_3_above_wma_200,dema_3_above_wma_3,dema_3_above_ema_5,dema_3_above_sma_5,dema_3_above_tema_5,dema_3_above_dema_5,dema_3_above_wma_5,dema_3_above_ema_10,dema_3_above_sma_10,dema_3_above_tema_10,dema_3_above_dema_10,dema_3_above_wma_10,dema_3_above_ema_15,dema_3_above_sma_15,dema_3_above_tema_15,dema_3_above_dema_15,dema_3_above_wma_15,dema_3_above_ema_20,dema_3_above_sma_20,dema_3_above_tema_20,dema_3_above_dema_20,dema_3_above_wma_20,dema_3_above_ema_25,dema_3_above_sma_25,dema_3_above_tema_25,dema_3_above_dema_25,dema_3_above_wma_25,dema_3_above_ema_30,dema_3_above_sma_30,dema_3_above_tema_30,dema_3_above_dema_30,dema_3_above_wma_30,dema_3_above_ema_50,dema_3_above_sma_50,dema_3_above_tema_50,dema_3_above_dema_50,dema_3_above_wma_50,dema_3_above_ema_70,dema_3_above_sma_70,dema_3_above_tema_70,dema_3_above_dema_70,dema_3_above_wma_70,dema_3_above_ema_100,dema_3_above_sma_100,dema_3_above_tema_100,dema_3_above_dema_100,dema_3_above_wma_100,dema_3_above_ema_120,dema_3_above_sma_120,dema_3_above_tema_120,dema_3_above_dema_120,dema_3_above_wma_120,dema_3_above_ema_150,dema_3_above_sma_150,dema_3_above_tema_150,dema_3_above_dema_150,dema_3_above_wma_150,dema_3_above_ema_200,dema_3_above_sma_200,dema_3_above_tema_200,dema_3_above_dema_200,dema_3_above_wma_200
AAPL,2023-11-08,182.89,195.71,0.07009677948493642,-7.734806629834306,-5.54455445544557,-3.149606299212611,-3.149606299212611,-3.149606299212611,-3.149606299212611,-3.149606299212611,-29.16495269436447,-41.6468993561505,-47.11302211302212,-47.11302211302212,-39.89596879063721,-25.81622349377315,92.26499438319716,83.78072084867276,70.50297397642282,63.67734516590525,59.66326645702268,57.2036266693064,55.673274743319055,53.491594055050285,53.12187648919541,52.933882242835566,52.81955707922714,52.674611815862335,52.58605143445931,57.96261640926904,40.91730310192368,24.40229559368256,18.53530206262742,16.761729367508188,15.616943334449315,14.486950360489052,11.456359404447213,10.294606796808107,8.969801783321294,8.107933222273909,7.039283163991933,6.1527685590244445,1.5365401249416017,2.396150245706637,5.371910274753291,4.527015008688271,4.360738326247058,4.1105632898667315,4.000043110878793,5.024467211555868,5.126747763704887,7.78312375849183,7.384318948040428,8.617047173803538,13.67931913510318,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
AAPL,2023-11-07,181.82,194.27,0.06847431525684752,-6.820682068206868,-5.032467532467573,-3.697078115682792,-3.697078115682792,-3.697078115682792,-3.697078115682792,-3.697078115682792,-33.56643356643355,-48.003863490019306,-50.39926289926289,-50.39926289926289,-42.67880364109233,-27.616963985190175,90.49375318224635,81.79609265593616,68.6982436361072,62.18453793720137,58.42319401597993,56.15473693561522,54.769748730925215,52.92416840541179,52.71749772334278,52.657266905802665,52.59268840760679,52.49657934566481,52.45496425894097,51.02268227439748,37.95385058785779,24.02835633415869,18.712459008348162,17.148622397689188,16.03661141253411,14.870272824868042,11.65286144363673,10.399302778624893,9.015957965101752,8.136083441546337,7.053639908211818,6.159415082581387,2.1106449777786414,2.6167949862379327,4.728880311447943,3.935963866139469,4.137120496190558,3.8644233722510286,3.8256449855619854,5.058061699900468,5.524935277116515,7.789189258838176,7.402979242151246,8.692463672246975,13.815907873172867,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,False,True,True,True,False,False,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True
AAPL,2023-11-06,179.23,192.32,0.07303464821737435,-3.2894736842108,-1.7346053772768173,-1.4534883720931453,-1.4534883720931453,-18.656268746250817,-18.656268746250817,-18.656268746250817,-44.220485396955986,-56.342562781712815,-58.35380835380835,-58.35380835380835,-49.41482444733422,-31.493452676943484,84.92212882851888,76.14328473757517,63.88445832960211,58.314021571125465,55.26034428212294,53.506852448364086,52.50447639215366,51.521121681983175,51.723884229697596,51.98097783027035,52.0391070240038,52.06298156864178,52.13625119937345,43.280026037786435,35.47772998077467,24.05136385027439,19.131051695382364,17.695879813824885,16.567774498542036,15.333980032358998,11.878308243728416,10.518053106828663,9.0685219675036,8.168520093910345,7.070633289164388,6.167499906109246,1.0676245698850366,2.9711573502593165,3.8718549817884456,3.4438959850081954,3.9212004220646532,3.677940858687102,3.627650234273176,5.029697601248012,5.939143008336252,7.801580457830323,7.441481438530904,8.749397792356277,13.967524729797331,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,False,True,True,True,False,False,False,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True
AAPL,2023-11-01,173.97,191.24,0.09926998907857683,-4.107424960505396,-3.0373831775699864,-31.799506984387833,-50.2099580083983,-50.2099580083983,-50.2099580083983,-50.2099580083983,-65.85767174002464,-73.67586425626385,-74.50859950859947,-74.50859950859947,-63.09492847854356,-37.63574309649395,78.96100576939376,63.55963466454527,52.132355764417845,49.150045107621,47.96715983870636,47.517630811198636,47.455193346322325,48.50852005754874,49.63570514855004,50.584369473021766,50.9032856965601,51.178665468547834,51.490083733344015,48.24185169120386,45.10283806864213,30.114657070070326,22.71091868309076,19.782532020408333,17.85430422260076,16.21466678670644,12.334655719282342,10.921055327511931,9.302670947053617,8.316968155634715,7.153103047593822,6.208919265912636,1.6334285686521124,2.419689236245022,2.5251526686519408,3.872221527179918,3.8858181570938215,3.6592630077653636,3.456645467630272,5.062428117020528,6.828145898277458,7.777643244582513,7.549046700301527,8.96157624057038,14.599698215288562,True,False,False,False,True,True,False,True,True,False,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
AAPL,2023-10-31,170.77,189.95,0.11231480939275035,-9.216589861750682,-30.987821380243403,-58.09367296631047,-69.40611877624464,-69.40611877624464,-69.40611877624464,-69.40611877624464,-79.02097902097893,-83.82492863939099,-84.33660933660927,-84.33660933660927,-70.62757201646086,-42.600062053986946,56.47326025869902,44.71024915261295,41.02799853628528,41.773862036682196,42.558008089487295,43.27978408406123,43.985429921516165,46.53855976041928,48.293302272747596,49.69755763840229,50.18569317337249,50.62280532115105,51.085655435915506,54.28944728226088,54.80679154058214,32.08773409146461,23.21438864076268,19.969024773875166,17.94249210316709,16.268089666535754,12.405208545752412,11.0178791570421,9.392395402938654,8.37969190971252,7.188607545469596,6.227030646584415,1.1064357188739007,1.6270783632019736,2.75258950808144,4.150431624140639,3.8898876590462126,3.738597255656193,3.464146984949303,5.04842193561513,7.0330736001627425,7.7382099189670495,7.550739846016563,9.064974950262627,14.807070169348155,True,False,False,True,False,True,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2023-10-30,170.29,189.37,0.11204415996241714,-19.08931698774084,-42.24999999999994,-63.7647058823529,-72.28554289142171,-72.28554289142171,-72.28554289142171,-72.28554289142171,-80.99547511312215,-85.34728829686013,-85.8108108108108,-85.8108108108108,-66.1301775147929,-41.97085774372841,51.26407024971453,41.051178030058736,39.12144287327648,40.56688886876052,41.69427875500351,42.61249868657367,43.443906213767036,46.236196220450104,48.08872181392503,49.56314453920216,50.07715518306262,50.53889682092792,51.02471545444314,64.4686040628229,57.33400728069082,31.144654302651468,22.421082783336093,19.44565575755231,17.58885151195964,16.022490597290677,12.378008874987344,11.068911971395854,9.461609555259898,8.442921980265151,7.233208436831977,6.250057881733812,1.3989599311234377,2.2789243076504344,3.1527608536011784,4.164849417045795,3.820467870562457,3.7019993733116725,3.506904126940964,4.978353543090327,7.153794096812673,7.658577854275558,7.523970471747096,9.195859847416843,15.02483018198542,True,False,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AAPL,2023-10-25,171.1,189.97,0.11028638223261254,-71.3235294117649,-85.20859671302165,-90.57211925866247,-90.57211925866247,-76.35869565217398,-76.35869565217398,-76.35869565217398,-84.43649373881935,-88.63116628552763,-88.63116628552763,-88.63116628552763,-64.21301775147928,-38.69633433176437,10.72521379384564,18.153704508565,32.45287053983026,37.87336328486186,40.33634129359591,41.85469588699071,43.01564922500802,46.30665471534993,48.27209235077344,49.75685981288908,50.25486950452959,50.691389677933884,51.14714549335761,78.1190282980403,49.36534373731841,23.791015425332013,18.277647066382,17.014271309697694,16.039190040600946,14.980660269645247,12.224795561251478,11.198813001722579,9.662749255716552,8.629065316428342,7.372754803972498,6.321883446819223,1.0153926443609025,1.3938952614884708,2.963620252326538,2.8062260936868406,3.0748960958055167,3.0008493730942254,2.8790659943808166,4.538078641892403,7.330663115590957,7.302753483447187,7.368363431571642,9.472379911909973,15.723572965137413,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
AAPL,2023-10-24,173.44,189.97,0.09530673431734318,-36.065573770491746,-55.62579013906457,-71.71635777598718,-71.71635777598718,-60.46195652173917,-60.46195652173917,-60.46195652173917,-73.97137745974956,-80.98660568441687,-80.98660568441687,-73.08372641509435,-58.67455621301774,-35.35872200827271,25.74664772243443,28.816760653648885,39.275934182034824,42.396924777874595,43.64439486043764,44.46437602257068,45.18257492701636,47.63143785463219,49.22641072070717,50.41496043452199,50.79495169130368,51.114896999463404,51.45958352312008,71.94954718583735,44.0602809851433,21.84111266731949,17.38151166501992,16.55681387895167,15.782724340604869,14.832864002583921,12.266129245738089,11.295380974580278,9.757465097726447,8.6927301337985,7.4082983562867275,6.339611041547584,0.24073960113690424,1.2655686468935652,2.750462688349001,2.5410639941218003,3.1250412397278864,2.8925102177866204,2.7803775922625245,4.453282605000495,7.418137409933376,7.217130384716628,7.443051203788824,9.594255319142224,15.974823932597818,True,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
AAPL,2023-10-23,173.0,191.31,0.10583815028901736,-61.18836915297099,-63.839811542991754,-75.26188557614832,-75.26188557614832,-63.45108695652176,-63.45108695652176,-63.45108695652176,-75.9391771019678,-82.42404442992488,-82.42404442992488,-74.38089622641509,-59.71597633136092,-34.40141805290427,9.933678773945928,21.917597637526256,37.03566473416835,41.1636323252955,42.80651252606208,43.83219921224034,44.67599884258565,47.35389469558164,49.03967939458921,50.292574185683634,50.696149842091714,51.03849348673938,51.404043952225926,64.28450022455065,38.61278322460263,20.123632849324217,16.629264607360298,16.19212007218973,15.590571916558789,14.732574850686472,12.328324051165646,11.403853687993958,9.853771807634509,8.753399998273771,7.441861182579667,6.356202658169519,1.188949115816153,1.6699892215221066,2.5800620147585613,2.6391614829967,3.187209555394813,2.9649134894630564,2.760476528910664,4.4275128051762875,7.5354174674110315,7.164849994242724,7.512825030406342,9.703313934710941,16.22430258709138,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
AAPL,2023-10-18,175.84,189.69,0.07876478616924473,-75.70093457943945,-86.20689655172423,-67.28778467908904,-44.15760869565218,-44.15760869565218,-44.15760869565218,-44.15760869565218,-63.237924865831815,-73.14603070891864,-73.14603070891864,-66.00825471698111,-48.057523073620914,-30.232244126384,17.230508204596262,34.60372751156525,45.59039204499675,46.67973087927059,46.7988856937939,46.97217722276875,47.28256181835537,48.953519145081174,50.194870494067004,51.090351374836146,51.35114461618416,51.55235079187831,51.783436141932924,47.48750963123456,31.825673777844166,19.28120138205818,16.382472125418232,16.24744697707303,15.762318578375506,14.962908000695835,12.728105162630364,11.814950704997441,10.096679551093565,8.902956830653205,7.521627537782859,6.394208620587602,1.1773510757439989,1.6523026357178034,1.6757461024868912,3.117209150648845,3.114807979635342,2.9117971357908843,2.8024712110722723,4.3196805622638355,7.6093642631823,7.075188195376854,7.649124132866454,10.14341166121581,17.083338261592786,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,False,True,True,False,True,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
AAPL,2023-10-17,177.15,189.71,0.0709003669206887,-67.04067321178127,-68.8328912466844,-45.646437994722916,-35.25815217391303,-35.25815217391303,-35.25815217391303,-55.11069241639187,-57.379248658318396,-68.86638353479253,-68.86638353479253,-62.14622641509432,-43.63485820741044,-28.463408047529015,26.755640583201412,43.61081383691014,50.15087137338808,49.42734886063326,48.737417764548795,48.477827402670485,48.523075320865395,49.70358566669002,50.732742143907195,51.45985679311256,51.65396224373054,51.78953650990361,51.95830841260467,47.204431725332206,35.13510309398942,20.750806803444686,17.020919533986373,16.65433767005508,16.064465993762642,15.21035878456953,12.928168648018554,11.974376471569157,10.16375925182092,8.943020401820267,7.541916172201257,6.403343831802397,0.7725714637926124,1.189699121626979,2.052963954871106,3.4317109435382234,3.1137613909867916,2.9266185265592775,3.0676413125106756,4.320919809485012,7.615985958656238,7.107776498315067,7.718456267915381,10.33112283539403,17.29736721115384,False,True,True,True,False,False,True,False,False,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,True,False,False,True,False,False,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,True,False,True,False,True,True,False,True,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True
