sym,date,period_start_price,period_end_price,20_period_return,williams_3,williams_5,williams_10,williams_15,williams_20,williams_25,williams_30,williams_50,williams_70,williams_100,williams_120,williams_150,williams_200,rsi_3,rsi_5,rsi_10,rsi_15,rsi_20,rsi_25,rsi_30,rsi_50,rsi_70,rsi_100,rsi_120,rsi_150,rsi_200,adx_3,adx_5,adx_10,adx_15,adx_20,adx_25,adx_30,adx_50,adx_70,adx_100,adx_120,adx_150,adx_200,standardDeviation_3,standardDeviation_5,standardDeviation_10,standardDeviation_15,standardDeviation_20,standardDeviation_25,standardDeviation_30,standardDeviation_50,standardDeviation_70,standardDeviation_100,standardDeviation_120,standardDeviation_150,standardDeviation_200,ema_3_above_sma_3,ema_3_above_tema_3,ema_3_above_dema_3,ema_3_above_wma_3,ema_3_above_ema_5,ema_3_above_sma_5,ema_3_above_tema_5,ema_3_above_dema_5,ema_3_above_wma_5,ema_3_above_ema_10,ema_3_above_sma_10,ema_3_above_tema_10,ema_3_above_dema_10,ema_3_above_wma_10,ema_3_above_ema_15,ema_3_above_sma_15,ema_3_above_tema_15,ema_3_above_dema_15,ema_3_above_wma_15,ema_3_above_ema_20,ema_3_above_sma_20,ema_3_above_tema_20,ema_3_above_dema_20,ema_3_above_wma_20,ema_3_above_ema_25,ema_3_above_sma_25,ema_3_above_tema_25,ema_3_above_dema_25,ema_3_above_wma_25,ema_3_above_ema_30,ema_3_above_sma_30,ema_3_above_tema_30,ema_3_above_dema_30,ema_3_above_wma_30,ema_3_above_ema_50,ema_3_above_sma_50,ema_3_above_tema_50,ema_3_above_dema_50,ema_3_above_wma_50,ema_3_above_ema_70,ema_3_above_sma_70,ema_3_above_tema_70,ema_3_above_dema_70,ema_3_above_wma_70,ema_3_above_ema_100,ema_3_above_sma_100,ema_3_above_tema_100,ema_3_above_dema_100,ema_3_above_wma_100,ema_3_above_ema_120,ema_3_above_sma_120,ema_3_above_tema_120,ema_3_above_dema_120,ema_3_above_wma_120,ema_3_above_ema_150,ema_3_above_sma_150,ema_3_above_tema_150,ema_3_above_dema_150,ema_3_above_wma_150,ema_3_above_ema_200,ema_3_above_sma_200,ema_3_above_tema_200,ema_3_above_dema_200,ema_3_above_wma_200,sma_3_above_tema_3,sma_3_above_dema_3,sma_3_above_wma_3,sma_3_above_ema_5,sma_3_above_sma_5,sma_3_above_tema_5,sma_3_above_dema_5,sma_3_above_wma_5,sma_3_above_ema_10,sma_3_above_sma_10,sma_3_above_tema_10,sma_3_above_dema_10,sma_3_above_wma_10,sma_3_above_ema_15,sma_3_above_sma_15,sma_3_above_tema_15,sma_3_above_dema_15,sma_3_above_wma_15,sma_3_above_ema_20,sma_3_above_sma_20,sma_3_above_tema_20,sma_3_above_dema_20,sma_3_above_wma_20,sma_3_above_ema_25,sma_3_above_sma_25,sma_3_above_tema_25,sma_3_above_dema_25,sma_3_above_wma_25,sma_3_above_ema_30,sma_3_above_sma_30,sma_3_above_tema_30,sma_3_above_dema_30,sma_3_above_wma_30,sma_3_above_ema_50,sma_3_above_sma_50,sma_3_above_tema_50,sma_3_above_dema_50,sma_3_above_wma_50,sma_3_above_ema_70,sma_3_above_sma_70,sma_3_above_tema_70,sma_3_above_dema_70,sma_3_above_wma_70,sma_3_above_ema_100,sma_3_above_sma_100,sma_3_above_tema_100,sma_3_above_dema_100,sma_3_above_wma_100,sma_3_above_ema_120,sma_3_above_sma_120,sma_3_above_tema_120,sma_3_above_dema_120,sma_3_above_wma_120,sma_3_above_ema_150,sma_3_above_sma_150,sma_3_above_tema_150,sma_3_above_dema_150,sma_3_above_wma_150,sma_3_above_ema_200,sma_3_above_sma_200,sma_3_above_tema_200,sma_3_above_dema_200,sma_3_above_wma_200,tema_3_above_dema_3,tema_3_above_wma_3,tema_3_above_ema_5,tema_3_above_sma_5,tema_3_above_tema_5,tema_3_above_dema_5,tema_3_above_wma_5,tema_3_above_ema_10,tema_3_above_sma_10,tema_3_above_tema_10,tema_3_above_dema_10,tema_3_above_wma_10,tema_3_above_ema_15,tema_3_above_sma_15,tema_3_above_tema_15,tema_3_above_dema_15,tema_3_above_wma_15,tema_3_above_ema_20,tema_3_above_sma_20,tema_3_above_tema_20,tema_3_above_dema_20,tema_3_above_wma_20,tema_3_above_ema_25,tema_3_above_sma_25,tema_3_above_tema_25,tema_3_above_dema_25,tema_3_above_wma_25,tema_3_above_ema_30,tema_3_above_sma_30,tema_3_above_tema_30,tema_3_above_dema_30,tema_3_above_wma_30,tema_3_above_ema_50,tema_3_above_sma_50,tema_3_above_tema_50,tema_3_above_dema_50,tema_3_above_wma_50,tema_3_above_ema_70,tema_3_above_sma_70,tema_3_above_tema_70,tema_3_above_dema_70,tema_3_above_wma_70,tema_3_above_ema_100,tema_3_above_sma_100,tema_3_above_tema_100,tema_3_above_dema_100,tema_3_above_wma_100,tema_3_above_ema_120,tema_3_above_sma_120,tema_3_above_tema_120,tema_3_above_dema_120,tema_3_above_wma_120,tema_3_above_ema_150,tema_3_above_sma_150,tema_3_above_tema_150,tema_3_above_dema_150,tema_3_above_wma_150,tema_3_above_ema_200,tema_3_above_sma_200,tema_3_above_tema_200,tema_3_above_dema_200,tema_3_above_wma_200,dema_3_above_wma_3,dema_3_above_ema_5,dema_3_above_sma_5,dema_3_above_tema_5,dema_3_above_dema_5,dema_3_above_wma_5,dema_3_above_ema_10,dema_3_above_sma_10,dema_3_above_tema_10,dema_3_above_dema_10,dema_3_above_wma_10,dema_3_above_ema_15,dema_3_above_sma_15,dema_3_above_tema_15,dema_3_above_dema_15,dema_3_above_wma_15,dema_3_above_ema_20,dema_3_above_sma_20,dema_3_above_tema_20,dema_3_above_dema_20,dema_3_above_wma_20,dema_3_above_ema_25,dema_3_above_sma_25,dema_3_above_tema_25,dema_3_above_dema_25,dema_3_above_wma_25,dema_3_above_ema_30,dema_3_above_sma_30,dema_3_above_tema_30,dema_3_above_dema_30,dema_3_above_wma_30,dema_3_above_ema_50,dema_3_above_sma_50,dema_3_above_tema_50,dema_3_above_dema_50,dema_3_above_wma_50,dema_3_above_ema_70,dema_3_above_sma_70,dema_3_above_tema_70,dema_3_above_dema_70,dema_3_above_wma_70,dema_3_above_ema_100,dema_3_above_sma_100,dema_3_above_tema_100,dema_3_above_dema_100,dema_3_above_wma_100,dema_3_above_ema_120,dema_3_above_sma_120,dema_3_above_tema_120,dema_3_above_dema_120,dema_3_above_wma_120,dema_3_above_ema_150,dema_3_above_sma_150,dema_3_above_tema_150,dema_3_above_dema_150,dema_3_above_wma_150,dema_3_above_ema_200,dema_3_above_sma_200,dema_3_above_tema_200,dema_3_above_dema_200,dema_3_above_wma_200
WMT,2023-11-08,164.3,150.86,-0.08180158247108946,-76.23762376237629,-76.23762376237629,-38.118811881188144,-26.891734575087327,-26.13122171945703,-15.44117647058824,-15.44117647058824,-15.44117647058824,-15.44117647058824,-15.44117647058824,-10.694444444444445,-10.694444444444445,-7.568807339449545,40.081034134591796,51.90368652563556,57.025568147365384,56.5946300131296,56.00017470796643,55.630927726394475,55.42954642312854,55.20790731485724,55.053831839282466,54.64684979312937,54.34033616268233,53.92865072405378,53.53180529796468,45.45397027665516,31.62156437026195,18.51302981573868,14.03915728432708,12.416149706826246,11.597934496400802,11.130456824489984,11.241350861499141,10.511454985362029,8.685756937089625,7.661487290869592,6.675231655900057,6.48721473869747,0.5529516756060637,0.5124217013359222,1.4602688108701105,1.9471026908945768,2.0599293070394458,2.7716145186515404,2.5970094125530037,2.334287463017356,2.5287936141285137,3.2257957948388483,4.74707852847997,5.144518510673926,7.796198391523911,False,True,True,False,True,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,False,True,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True
WMT,2023-11-07,165.65,152.46,-0.07962571687292483,-37.79527559055119,-26.446280991735584,-15.841584158415966,-11.175785797438971,-10.031347962382506,-6.41711229946529,-6.41711229946529,-6.41711229946529,-6.41711229946529,-6.41711229946529,-4.444444444444477,-4.444444444444477,-3.1454783748361983,77.4751630414698,72.81307755682835,65.89332684903536,62.049200230603994,59.9426323996615,58.73224870474804,57.99455028477372,56.73054800683599,56.11987171031645,55.360122297901356,54.91697398446907,54.37249191002243,53.85141339916472,55.975102427758706,39.43781291441395,19.57684229992389,14.522667770307088,12.755841722957452,11.854590816010562,11.32833159666537,11.3363596363846,10.554334398419842,8.693771503796953,7.660892725047086,6.6706992410047485,6.485069677848932,0.42444735310231263,0.39306996832625546,1.4934286055918466,1.951004755390301,2.2051993107200114,2.7099875719272233,2.537809400951057,2.325264922541086,2.509897831077788,3.218633561000692,4.752238097728269,5.138972632302644,7.788565603498504,True,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
WMT,2023-11-06,164.88,154.04,-0.06574478408539546,-52.99625468164789,-32.56616800920581,-24.630113141862452,-17.099697885196324,-13.30512458862241,-9.66200068282686,-9.66200068282686,-9.66200068282686,-9.66200068282686,-9.66200068282686,-6.647874089734518,-6.647874089734518,-4.684654858467117,65.09095813108094,66.69008645278842,62.93454424273033,59.9967415981283,58.3539691926451,57.432878551849825,56.89475847485384,56.05305016354456,55.63690663732452,55.028672152392524,54.64474706483033,54.15873675938624,53.69451505382622,52.011565318592936,36.10293815265899,18.220973817380845,14.039540626080777,12.576385711400832,11.784005580312778,11.299275630167521,11.348404343516103,10.554711013703482,8.681370769062521,7.64639943869885,6.657529057537284,6.478256065893658,0.36478304054145844,0.6919942196290408,1.3589735096755957,1.8306991985456178,2.2606730745510313,2.59151538679592,2.4136345115935756,2.3031592302747983,2.4508561436230196,3.1659975615909746,4.76363268172399,5.1423758642177155,7.771489685864609,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
WMT,2023-11-01,164.87,154.34,-0.06386850245648087,-11.099020674646159,-10.559006211179971,-6.929347826086847,-6.701708278580708,-3.714493809176921,-3.714493809176921,-3.714493809176921,-6.900752822202885,-6.900752822202885,-6.900752822202885,-4.702037917648292,-4.702037917648292,-3.2926857953151285,84.28914509734763,75.0632230155176,65.45704369783246,61.21921359474709,59.10250283382442,57.959640545247396,57.29920145081099,56.262125512311414,55.772403030273665,55.109299233706366,54.70490800088429,54.20014195860919,53.72090228243382,40.98822405441666,25.007729049267446,14.841642327631167,13.21196139758569,12.478883772125478,11.88306540837839,11.43766707387457,11.469677291372191,10.59769085060379,8.66330847712391,7.615800780699325,6.626057836070468,6.4623287278274395,0.7962551238279232,1.2970489582124523,1.6454631566826432,1.6270401210651084,2.3587486089026117,2.1739738360891105,2.100137984884697,2.3455646313840948,2.3056744597374794,3.0945600963626467,4.729923701522279,5.15878627801368,7.781772339897896,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
WMT,2023-10-31,163.41,155.69,-0.04724313077535034,-6.840390879479102,-24.338624338624754,-14.580031695721324,-12.620027434842433,-7.255520504731983,-7.255520504731983,-9.954058192955676,-17.182515369826525,-17.182515369826525,-17.122225419125712,-11.70782969208103,-10.89245934133632,-8.198616258791176,72.69001992235312,66.59828727121595,60.40502368451062,57.53018783987703,56.18738909783837,55.55015606639693,55.24737505070185,54.986607539114516,54.86125635637205,54.483538618284165,54.19084504148147,53.79637144995802,53.42437421057136,28.621708110003244,19.859521166750874,13.911398186541291,13.146741143744457,12.598019409467272,12.02337297666811,11.561813213166667,11.53974844782574,10.626649515892424,8.663989707365719,7.610107811218089,6.6183738706891875,6.458590163636114,0.9770818230265578,0.829520343331014,1.3589495943558785,1.5748735398966718,2.145069404471567,2.00415344721905,2.0450390922642256,2.36445525227271,2.257503953936918,3.102240060021145,4.699735098178997,5.199892657439085,7.75368561137218,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True
WMT,2023-10-30,163.02,156.08,-0.04257146362409519,-25.151515151514797,-34.65608465608471,-20.760697305863737,-15.109573241061128,-10.331230283911683,-10.331230283911683,-12.940275650842247,-19.929013584602593,-19.929013584602593,-17.62090673042784,-13.579239823607505,-12.411896543405819,-9.5091045332813,68.5558779916237,63.98576969955851,58.96209453656288,56.49850115765523,55.38030133528972,54.887113651675826,54.685119239826896,54.640320117685945,54.61506689828636,54.315127327155544,54.05271042377852,53.68803604221402,53.34492040611727,27.305059442281376,19.64724801806439,14.499075944236788,13.829626761359624,13.159940383991394,12.454471002371474,11.890540296954637,11.68403028817326,10.692572207043206,8.682020504930241,7.61618544797289,6.618032351199974,6.45887835082075,0.7706418681131342,0.7932364086449921,1.2413222788623457,1.6799145480913302,2.041204240148448,1.9571652970559232,2.0437721388539263,2.395463011611744,2.2377870081572895,3.148164625619186,4.689463419168788,5.261780577797681,7.730994479366802,True,False,False,True,True,False,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True
WMT,2023-10-25,162.76,156.06,-0.04116490538215771,-24.88114104595913,-24.88114104595913,-23.932926829268613,-12.38170347003171,-12.38170347003171,-13.540856031128481,-21.14975159687734,-21.760012394453504,-21.760012394453504,-17.819595268715506,-14.826846577958626,-11.721971631151872,-10.382763382941478,68.05805372406944,65.40147013999693,59.33007762063297,56.49029483037571,55.301302481533554,54.81322195499891,54.632055921242745,54.64373124112679,54.627706726705576,54.31947532058327,54.05100106500985,53.68051133293739,53.335287486501954,44.13400506340391,26.589388722637523,17.95267688531219,16.294092960668216,14.908445886283321,13.802819885979307,12.996768081584191,12.245802479402558,10.949949476764548,8.762149740980908,7.651610149849988,6.627512933891449,6.465486980052981,0.9614918963083736,1.5968844667038387,1.3888556440465656,2.1213752352869792,1.9559994887524883,1.9964871549799652,2.3011010890923966,2.5303258604377428,2.3577388900108063,3.465174943635602,4.690873026420562,5.5287715255942915,7.6856692590821245,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True
WMT,2023-10-24,163.25,156.06,-0.0440428790199081,-4.21245421245404,-4.21245421245404,-3.5714285714284135,-1.944209636517245,-1.944209636517245,-11.17917304747326,-18.30928386819621,-18.30928386819621,-18.30928386819621,-13.866207286438815,-12.47558769475857,-9.851875149204782,-8.73625247396662,77.65778395143833,70.83755614043515,61.870674599823666,58.153581856687545,56.55362794703487,55.82600330790292,55.48606503917144,55.17006249917663,55.00103849671546,54.57123955544116,54.25513768276719,53.83815102897265,53.449272618783745,42.17838829794628,25.375291704372636,18.648054808571512,17.100403773679272,15.538161384727536,14.269654287199453,13.3440523170164,12.387469262876147,11.010289491469639,8.775876823575711,7.654409763693345,6.624994621208782,6.464606720113913,1.8330363395803795,1.4424229615476891,1.4614858877183887,1.9982592424407803,1.8938674716040715,2.0617047703296407,2.36743452332313,2.523497128985885,2.4370952767085456,3.5755431405592066,4.701739730467388,5.647530209057957,7.664962650757017,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True
WMT,2023-10-23,161.01,154.67,-0.03937643624619591,-21.359248836169908,-31.105990783410636,-20.14925373134357,-12.605042016806925,-21.296257367965286,-28.33078101071988,-34.08404284537219,-34.08404284537219,-34.08404284537219,-24.309012099508294,-23.224199732244397,-18.339970973743753,-16.263159486423014,60.8118601576994,58.10132119929296,53.71646591856161,52.141242384875085,51.81479854495144,51.92796557216242,52.182927737482586,53.14833869140838,53.57124945021175,53.597902599775274,53.45828654942581,53.2142590470385,52.99231337698933,47.766934741520515,26.919139371798046,20.234158496679463,18.299970136571442,16.291016159094692,14.829354850835955,13.803609024237101,12.568037155568058,11.089442278509871,8.79819831854907,7.662980633900255,6.62604709641496,6.4656811261027745,1.0088607436113308,1.0088210941490072,1.377706790285947,1.7545881441396884,1.8339173236544768,2.0688332557265205,2.4161871938149893,2.498535322944225,2.4917565151138357,3.710262819531791,4.703406209570063,5.739351943284965,7.632335254691054,True,False,False,True,True,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,True,False,True,True,True,True,False,False,True,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True
WMT,2023-10-18,161.54,155.35,-0.03831868267921257,-40.19607843137321,-17.864923747277146,-7.656395891690206,-13.850174216027916,-23.03501945525299,-29.80837473385391,-30.35162219452252,-30.35162219452252,-30.35162219452252,-20.681001348374988,-20.681001348374988,-15.250938609124592,-14.482239523654316,87.76736067561984,71.58749749925704,57.531921664826314,54.24990350457534,53.39750005287665,53.268285978237465,53.374245455958395,53.99206751039997,54.198761129206666,54.02230457883366,53.797710005446106,53.470123806202814,53.17335342641724,58.591241576051026,32.530437686822296,23.57689990949973,20.246329057431463,17.60581000444143,15.917415238062013,14.790901254629329,13.241680641034195,11.40616186208549,8.899082698395613,7.71100911257193,6.642819046620953,6.4763105974039,0.13638181696985122,1.0240117186829447,1.9270518934372263,1.856991114679873,2.026275585896448,2.4140762539737617,2.500573911902803,2.4857708985342963,2.722436562481245,4.209066423804689,4.75434479362474,6.0978770805001385,7.629968327424434,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True
WMT,2023-10-17,161.42,156.04,-0.03332920332053027,-20.754716981132816,-13.095238095238537,-6.327900287632067,-14.895470383275345,-25.19142419601853,-31.196698568299837,-31.196698568299837,-31.196698568299837,-31.196698568299837,-21.256819850383177,-21.256819850383177,-15.202179829031692,-14.885466685035922,86.87697673732411,70.71422137588074,56.99098685588349,53.87195067531501,53.10970751726451,53.03694938312792,53.181394014344086,53.87814268037529,54.1195153800283,53.96903268488666,53.75430086566143,53.43628479427848,53.14866488164321,50.78835746275525,31.04272116833773,25.28793104458919,21.579815343714486,18.512794173879634,16.54883000599599,15.24441522225597,13.408727729704191,11.472748481596584,8.913331541670406,7.7136838211860015,6.640052082896674,6.475319958521538,0.7052659073002103,1.2424878269021422,1.8618917798841057,1.870550721044473,2.1647782796397403,2.511797762559715,2.500586508979221,2.4826246192286106,2.7842689144109465,4.353137769471579,4.758459691842401,6.195681040495512,7.629702680314614,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True
