sym,date,period_start_price,period_end_price,20_period_return,williams_3,williams_5,williams_10,williams_15,williams_20,williams_25,williams_30,williams_50,williams_70,williams_100,williams_120,williams_150,williams_200,rsi_3,rsi_5,rsi_10,rsi_15,rsi_20,rsi_25,rsi_30,rsi_50,rsi_70,rsi_100,rsi_120,rsi_150,rsi_200,adx_3,adx_5,adx_10,adx_15,adx_20,adx_25,adx_30,adx_50,adx_70,adx_100,adx_120,adx_150,adx_200,standardDeviation_3,standardDeviation_5,standardDeviation_10,standardDeviation_15,standardDeviation_20,standardDeviation_25,standardDeviation_30,standardDeviation_50,standardDeviation_70,standardDeviation_100,standardDeviation_120,standardDeviation_150,standardDeviation_200,ema_3_above_sma_3,ema_3_above_tema_3,ema_3_above_dema_3,ema_3_above_wma_3,ema_3_above_ema_5,ema_3_above_sma_5,ema_3_above_tema_5,ema_3_above_dema_5,ema_3_above_wma_5,ema_3_above_ema_10,ema_3_above_sma_10,ema_3_above_tema_10,ema_3_above_dema_10,ema_3_above_wma_10,ema_3_above_ema_15,ema_3_above_sma_15,ema_3_above_tema_15,ema_3_above_dema_15,ema_3_above_wma_15,ema_3_above_ema_20,ema_3_above_sma_20,ema_3_above_tema_20,ema_3_above_dema_20,ema_3_above_wma_20,ema_3_above_ema_25,ema_3_above_sma_25,ema_3_above_tema_25,ema_3_above_dema_25,ema_3_above_wma_25,ema_3_above_ema_30,ema_3_above_sma_30,ema_3_above_tema_30,ema_3_above_dema_30,ema_3_above_wma_30,ema_3_above_ema_50,ema_3_above_sma_50,ema_3_above_tema_50,ema_3_above_dema_50,ema_3_above_wma_50,ema_3_above_ema_70,ema_3_above_sma_70,ema_3_above_tema_70,ema_3_above_dema_70,ema_3_above_wma_70,ema_3_above_ema_100,ema_3_above_sma_100,ema_3_above_tema_100,ema_3_above_dema_100,ema_3_above_wma_100,ema_3_above_ema_120,ema_3_above_sma_120,ema_3_above_tema_120,ema_3_above_dema_120,ema_3_above_wma_120,ema_3_above_ema_150,ema_3_above_sma_150,ema_3_above_tema_150,ema_3_above_dema_150,ema_3_above_wma_150,ema_3_above_ema_200,ema_3_above_sma_200,ema_3_above_tema_200,ema_3_above_dema_200,ema_3_above_wma_200,sma_3_above_tema_3,sma_3_above_dema_3,sma_3_above_wma_3,sma_3_above_ema_5,sma_3_above_sma_5,sma_3_above_tema_5,sma_3_above_dema_5,sma_3_above_wma_5,sma_3_above_ema_10,sma_3_above_sma_10,sma_3_above_tema_10,sma_3_above_dema_10,sma_3_above_wma_10,sma_3_above_ema_15,sma_3_above_sma_15,sma_3_above_tema_15,sma_3_above_dema_15,sma_3_above_wma_15,sma_3_above_ema_20,sma_3_above_sma_20,sma_3_above_tema_20,sma_3_above_dema_20,sma_3_above_wma_20,sma_3_above_ema_25,sma_3_above_sma_25,sma_3_above_tema_25,sma_3_above_dema_25,sma_3_above_wma_25,sma_3_above_ema_30,sma_3_above_sma_30,sma_3_above_tema_30,sma_3_above_dema_30,sma_3_above_wma_30,sma_3_above_ema_50,sma_3_above_sma_50,sma_3_above_tema_50,sma_3_above_dema_50,sma_3_above_wma_50,sma_3_above_ema_70,sma_3_above_sma_70,sma_3_above_tema_70,sma_3_above_dema_70,sma_3_above_wma_70,sma_3_above_ema_100,sma_3_above_sma_100,sma_3_above_tema_100,sma_3_above_dema_100,sma_3_above_wma_100,sma_3_above_ema_120,sma_3_above_sma_120,sma_3_above_tema_120,sma_3_above_dema_120,sma_3_above_wma_120,sma_3_above_ema_150,sma_3_above_sma_150,sma_3_above_tema_150,sma_3_above_dema_150,sma_3_above_wma_150,sma_3_above_ema_200,sma_3_above_sma_200,sma_3_above_tema_200,sma_3_above_dema_200,sma_3_above_wma_200,tema_3_above_dema_3,tema_3_above_wma_3,tema_3_above_ema_5,tema_3_above_sma_5,tema_3_above_tema_5,tema_3_above_dema_5,tema_3_above_wma_5,tema_3_above_ema_10,tema_3_above_sma_10,tema_3_above_tema_10,tema_3_above_dema_10,tema_3_above_wma_10,tema_3_above_ema_15,tema_3_above_sma_15,tema_3_above_tema_15,tema_3_above_dema_15,tema_3_above_wma_15,tema_3_above_ema_20,tema_3_above_sma_20,tema_3_above_tema_20,tema_3_above_dema_20,tema_3_above_wma_20,tema_3_above_ema_25,tema_3_above_sma_25,tema_3_above_tema_25,tema_3_above_dema_25,tema_3_above_wma_25,tema_3_above_ema_30,tema_3_above_sma_30,tema_3_above_tema_30,tema_3_above_dema_30,tema_3_above_wma_30,tema_3_above_ema_50,tema_3_above_sma_50,tema_3_above_tema_50,tema_3_above_dema_50,tema_3_above_wma_50,tema_3_above_ema_70,tema_3_above_sma_70,tema_3_above_tema_70,tema_3_above_dema_70,tema_3_above_wma_70,tema_3_above_ema_100,tema_3_above_sma_100,tema_3_above_tema_100,tema_3_above_dema_100,tema_3_above_wma_100,tema_3_above_ema_120,tema_3_above_sma_120,tema_3_above_tema_120,tema_3_above_dema_120,tema_3_above_wma_120,tema_3_above_ema_150,tema_3_above_sma_150,tema_3_above_tema_150,tema_3_above_dema_150,tema_3_above_wma_150,tema_3_above_ema_200,tema_3_above_sma_200,tema_3_above_tema_200,tema_3_above_dema_200,tema_3_above_wma_200,dema_3_above_wma_3,dema_3_above_ema_5,dema_3_above_sma_5,dema_3_above_tema_5,dema_3_above_dema_5,dema_3_above_wma_5,dema_3_above_ema_10,dema_3_above_sma_10,dema_3_above_tema_10,dema_3_above_dema_10,dema_3_above_wma_10,dema_3_above_ema_15,dema_3_above_sma_15,dema_3_above_tema_15,dema_3_above_dema_15,dema_3_above_wma_15,dema_3_above_ema_20,dema_3_above_sma_20,dema_3_above_tema_20,dema_3_above_dema_20,dema_3_above_wma_20,dema_3_above_ema_25,dema_3_above_sma_25,dema_3_above_tema_25,dema_3_above_dema_25,dema_3_above_wma_25,dema_3_above_ema_30,dema_3_above_sma_30,dema_3_above_tema_30,dema_3_above_dema_30,dema_3_above_wma_30,dema_3_above_ema_50,dema_3_above_sma_50,dema_3_above_tema_50,dema_3_above_dema_50,dema_3_above_wma_50,dema_3_above_ema_70,dema_3_above_sma_70,dema_3_above_tema_70,dema_3_above_dema_70,dema_3_above_wma_70,dema_3_above_ema_100,dema_3_above_sma_100,dema_3_above_tema_100,dema_3_above_dema_100,dema_3_above_wma_100,dema_3_above_ema_120,dema_3_above_sma_120,dema_3_above_tema_120,dema_3_above_dema_120,dema_3_above_wma_120,dema_3_above_ema_150,dema_3_above_sma_150,dema_3_above_tema_150,dema_3_above_dema_150,dema_3_above_wma_150,dema_3_above_ema_200,dema_3_above_sma_200,dema_3_above_tema_200,dema_3_above_dema_200,dema_3_above_wma_200
FSLY,2023-11-08,17.01,17.27,0.01528512639623739,-43.19526627218922,-49.45772349162889,-21.798858309741476,-21.798858309741476,-21.798858309741476,-21.798858309741476,-42.76494565217388,-68.4161199625117,-68.4161199625117,-68.4161199625117,-62.2866894197952,-57.4803149606299,-49.42450914014893,62.02313328799347,64.34055624894975,58.631513346842084,53.78270339436339,51.2240636175175,50.00606491167356,49.47935537656364,49.53886712311673,50.0743357877602,50.33632490017861,50.214897365668136,49.926678964811536,49.86502266512183,47.77280620704465,44.98151577986489,36.57568572462894,29.67861215653636,24.04577547759988,20.12954749399328,17.63170451127137,14.899491107864794,14.005405114630793,11.602703075467543,9.797617508819563,7.36666230472507,4.885858841442248,0.29261275129806363,0.41363752247589924,1.3835393019354383,1.2457008736717925,1.0974145752631501,1.067542973373906,1.5093087453827625,3.196116368344557,2.9424118109649635,2.6650649823221957,2.611059383500625,2.7627664879006093,2.990478656920996,True,False,False,False,True,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,True,False
FSLY,2023-11-07,17.28,16.84,-0.025462962962963034,-28.488372093023184,-17.367164798671634,-15.533484939898814,-15.533484939898814,-15.533484939898814,-21.212121212121215,-38.17934782608693,-65.88566073102155,-65.88566073102155,-65.88566073102155,-59.982935153583604,-55.3543307086614,-47.59647935003384,71.2817001070473,69.66878214387441,61.1695595299938,55.377903509381916,52.37990419840195,50.91779101953501,50.23778778092202,50.00998518327526,50.42351673214254,50.584403056287115,50.41786463463881,50.080442131991894,49.96871831179098,50.712981034339116,45.029344365760196,37.77629118388724,30.946373852568687,25.04950859652774,20.89143596707083,18.216869108238903,15.16351388762228,14.145095806434375,11.659871835486348,9.830794443173767,7.382939291616743,4.8937600800805,0.4166799997866731,1.1638659716651225,1.3588171326561935,1.1571873947925058,1.0605541004588122,1.161242369189137,1.555916343081037,3.266367578825139,2.936941019329535,2.664362400275158,2.642794349211119,2.7654707945584156,3.020774797547808,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,True,False
FSLY,2023-11-06,16.57,16.95,0.022933011466505674,-72.6229335579657,-35.787671232876725,-32.00909639392956,-32.00909639392956,-32.00909639392956,-42.322834645669275,-50.23777173913042,-72.5398313027179,-72.5398313027179,-72.5398313027179,-66.04095563139931,-60.94488188976377,-52.40352064996614,61.10245472866577,63.26989306609439,56.737368814526064,51.874595708748515,49.535244823619884,48.54971686635442,48.220238166435394,48.754059888594284,49.51092102493411,49.94214578556713,49.88968597151396,49.67559799487009,49.69500667322294,55.12324327528081,45.08913009812933,39.11029724972978,32.30468995546047,26.106069774346544,21.68506979319328,18.822211794757038,15.432924887374815,14.286811001017718,11.717618057727563,9.864250175295654,7.399325520031178,4.901701023435527,0.4919575410766887,1.2461717377632984,1.1983254983517622,1.0225840905383876,0.9967621331089977,1.1917583647703083,1.571228677040855,3.3151707105366386,2.9322985481547073,2.6633326791822314,2.6738577922274698,2.7654662166722557,3.0464664248108826,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False
FSLY,2023-11-01,14.25,18.05,0.2666666666666667,-53.19148936170216,-45.045045045045065,-68.55670103092785,-78.36879432624116,-85.34006248497957,-89.63994565217392,-89.63994565217392,-94.2830365510778,-94.2830365510778,-94.2830365510778,-85.83617747440273,-79.21259842519684,-68.11103588354771,40.681441320819324,39.91794906442272,36.349006245197856,36.100418801682196,37.23570752756531,38.6767808133462,40.059155233789134,44.05831255036759,46.24126831671125,47.713962593489185,48.07616413869809,48.297956661741544,48.77614295492573,27.65021981890695,28.57230969927693,40.87967499547462,35.80824465141203,29.02168883415623,23.905324948642672,20.518448489495785,16.183620189186616,14.676096598679095,11.87043843708279,9.950136676781929,7.439548358611063,4.92114105122418,0.19798989873223327,0.1980303007117851,0.29980160106310316,0.5486686917743103,0.8361427808693916,1.5726632697433993,1.6933254921078296,3.35598143022276,2.919747682696614,2.6578422752300415,2.769863954491066,2.7653074380015448,3.1348589426001303,False,True,True,False,False,True,False,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FSLY,2023-10-31,14.67,16.61,0.1322426721199727,-8.000000000000007,-7.207207207207217,-46.907216494845386,-69.70588235294119,-77.70562770562772,-82.50679347826087,-84.29854113629783,-90.34676663542643,-90.34676663542643,-90.34676663542643,-81.83361629881153,-75.90551181102362,-65.26743398781313,69.30552336397322,52.02547135709939,40.27320579941059,38.380467609787125,38.88660627731831,39.998316027735235,41.17514338457704,44.77646458002002,46.78033173171846,48.098798820983006,48.39099042568584,48.536181164188974,48.93662735478769,33.86280632033064,33.55307430139335,42.22365080992918,36.11024666221556,29.007575308947604,23.83049165234629,20.465950808025223,16.2942536604855,14.826947251507331,11.988299041284296,10.023526504302327,7.4798015642396045,4.940960487242029,0.23471022323045282,0.1995394697797907,0.35420897786476263,0.6777695445765881,1.052109666337117,1.612570618608686,1.7436282733299424,3.2986194930606954,2.875003549243595,2.633350193194972,2.7829687934929415,2.755578543004475,3.1605710714204807,True,False,False,True,True,True,False,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FSLY,2023-10-30,14.25,18.56,0.3024561403508771,-32.22222222222218,-66.75749318801091,-73.00884955752215,-83.14917127071824,-87.99212598425198,-89.63994565217392,-90.70107776033171,-94.2830365510778,-94.2830365510778,-94.2830365510778,-85.39898132427844,-79.21259842519684,-67.42627345844504,42.186594736701515,36.654897228701756,33.845427013235906,34.520590909337855,36.1993470881308,37.96339443320006,39.54715506854408,43.88000181274842,46.16167072238776,47.68104084247,48.05365504886097,48.28279216855708,48.76890843456083,37.904601330318435,40.67474407563716,43.82907753317867,36.47448349499143,29.01444227666654,23.76642700839925,20.421436403761696,16.410962787976157,14.982037807699722,12.106326863716811,10.096839603205675,7.519911310644176,4.960678673085656,0.05557777333511042,0.3293265856258799,0.4967544665123806,0.7796483537823674,1.1626882643253948,1.6265054564925383,1.8102458089687405,3.2477548491226984,2.8367433217457987,2.6128819031865955,2.8014067844963586,2.7487220658981797,3.1919199927316475,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FSLY,2023-10-25,14.22,17.64,0.24050632911392403,-89.96415770609315,-90.66666666666663,-94.11764705882351,-96.23757054555226,-97.4302496328928,-97.4302496328928,-98.35680751173709,-98.63147605083088,-98.63147605083088,-98.63147605083088,-79.44881889763778,-79.44881889763778,-64.80411046885035,32.11137319714044,32.68705312451847,32.44648175913957,33.73942010833473,35.69332741923094,37.60665496337489,39.28058377551835,43.76326166939592,46.09319610761838,47.6407560707988,48.022439513186654,48.260029668698,48.75468613304382,41.24782159563599,43.33406808261357,44.62698201771348,35.80414349992563,28.072914571314886,22.99185831106599,19.910986974105594,16.66298633978638,15.407961057103543,12.462121722343367,10.336465516696048,7.651334876447689,5.025066946072228,0.3630733014450692,0.31007095962053577,0.5253532145138161,0.776941582245552,1.5345470830183086,1.5950687007148,2.0141643152654876,3.0305690818722484,2.6751967312742457,2.5330144472544958,2.8788145274284918,2.7197860504091143,3.2919876594543913,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FSLY,2023-10-24,15.0,17.64,0.17600000000000005,-35.0553505535055,-39.72602739726025,-69.86301369863011,-78.743961352657,-83.72781065088756,-85.52607773154163,-89.9772209567198,-91.36408243375857,-91.36408243375857,-91.36408243375857,-73.30708661417322,-73.30708661417322,-59.4888178913738,56.779840461887815,45.23325582957364,37.63782754550977,37.119214876450336,38.29811707716057,39.771729219742944,41.154330807145996,45.026155027220085,47.05829374009343,48.33787403486645,48.59493272984227,48.69469170597675,49.04845828794082,53.70787217408156,47.52883602529348,45.46875975143299,35.771746062611165,27.860166386275786,22.80509856581052,19.798407813946916,16.78056873253006,15.570970711786426,12.584231601958848,10.411781253066627,7.692190168591912,5.04501946917545,0.31084115271666035,0.3065681001017553,0.6250471982178627,0.986934648292378,1.5309359065617345,1.6066275735216298,2.1378078075968903,2.950205579277485,2.6132818564449747,2.506553618018175,2.909628888850489,2.712231553536681,3.3288530682503845,True,False,True,True,False,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FSLY,2023-10-23,14.24,17.78,0.24859550561797758,-91.78082191780815,-93.25842696629209,-96.17834394904456,-97.39130434782606,-97.78106508875737,-98.02628332702838,-98.71794871794872,-98.82237487733072,-98.82237487733072,-98.82237487733072,-79.29133858267716,-79.29133858267716,-61.62790697674417,13.730144354402427,21.852342488429528,27.460100653665293,30.816765847581365,33.828181236430794,36.343740128217654,38.38606556915137,43.46842147502105,45.97180577568752,47.59822134402847,47.99590297956595,48.243518950595224,48.74906772690232,69.77278719218013,57.101285084398135,47.099569185342126,36.019940898244506,27.797321534804716,22.717522972724364,19.75923021487819,16.932025881467084,15.75354854697922,12.698914693121624,10.481842943480716,7.729799427647273,5.063358967316416,0.24124676163629644,0.48126499976624076,0.7263201773322835,1.092132267121931,1.5233404084445474,1.6575089743346791,2.291562203679694,2.8890856962021743,2.5709377944355527,2.4923986438770185,2.9233621197746493,2.7078259290844797,3.3704124065164494,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FSLY,2023-10-18,15.12,17.97,0.1884920634920635,-59.541984732824496,-71.65775401069524,-83.49423855496731,-89.26690968003241,-89.26690968003241,-93.38327091136081,-94.19496166484119,-94.54732510288066,-94.54732510288066,-94.54732510288066,-72.36220472440945,-72.36220472440945,-56.24235006119951,32.285128707550015,32.70465171798938,32.5276789863446,34.323541744970626,36.62137763382302,38.70838138679859,40.45492084884204,44.8866433742391,47.060413921789745,48.38539908232914,48.64203514615066,48.73356725802986,49.0798757426785,49.70414104828773,49.049255214625255,44.19894155715584,33.57749589376545,25.972984990072405,21.506875756984694,19.04638600878127,17.238995859708886,16.243259241670533,13.070655485888022,10.716803054113475,7.856735244723667,5.125142061194565,0.23551362310207613,0.3973109613388487,0.5886459037485948,1.3992258176895143,1.3755835125502198,1.7905732713296043,2.5629640826373064,2.636176503954164,2.4112084361267856,2.443330833104678,2.9235027495093777,2.69142442996682,3.4957090264351236,False,True,True,False,False,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FSLY,2023-10-17,15.68,16.25,0.03635204081632655,-16.793893129771035,-55.510204081632644,-70.29972752043598,-77.92628594572702,-80.570063637498,-86.8832731648616,-88.57130874242456,-88.78600823045268,-88.78600823045268,-87.70325203252033,-67.95275590551181,-67.95275590551181,-52.53066317679641,48.98328075328324,40.51802849033389,35.881122547602885,36.608621372579925,38.430219590622244,40.23480727196495,41.78789855935095,45.797394742280844,47.75835565599366,48.8890222913408,49.05486338520289,49.04612405914081,49.29047053914793,50.585550446825806,49.01199357976912,43.84269752687578,33.02793327993177,25.53251806426181,21.22900525430967,18.90980085866565,17.39469923844534,16.438294922702912,13.187273353154435,10.78718216200855,7.894085807640275,5.143256264533344,0.4292629341868068,0.5635459164966068,0.8874237995456287,1.381220716129999,1.3808135283230685,1.9251890712343038,2.6394334408900884,2.563950241326848,2.3705909407072463,2.4480637573396655,2.9236406136014734,2.69468832582422,3.5373568720161668,True,False,True,True,False,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
